model,metric,estimate,lower,upper
us,roc_auc,0.5182328190743338,0.3856942496493689,0.6479663394109397
us,accuracy,0.7176470588235294,0.6941176470588235,0.7294117647058823
us,sensitivity,0.9838709677419355,0.9516129032258065,1.0
us,specificity,0.0,0.0,0.0
us,balanced_accuracy,0.49193548387096775,0.47580645161290325,0.5
us,f1,0.8356164383561644,0.8194444444444444,0.8435374149659864
us,brier,0.20912770052048948,0.19158709575875105,0.22765348308573843
us,log_loss,0.6145366387263175,0.5640950524549617,0.6686838864482759
emg,roc_auc,0.4375876577840112,0.3015427769985975,0.5757538569424963
emg,accuracy,0.6941176470588235,0.6235294117647059,0.7529411764705882
emg,sensitivity,0.9032258064516129,0.8225806451612904,0.967741935483871
emg,specificity,0.13043478260869565,0.0,0.2608695652173913
emg,balanced_accuracy,0.5168302945301543,0.4435483870967742,0.5981767180925666
emg,f1,0.8115942028985508,0.7647058823529411,0.851063829787234
emg,brier,0.22846860517669051,0.20989902076403102,0.24747539445000027
emg,log_loss,0.6494876365472755,0.6103083235614812,0.6896415603089531
table,roc_auc,0.884992987377279,0.7938288920056101,0.9544179523141655
table,accuracy,0.788235294117647,0.7058823529411765,0.8705882352941177
table,sensitivity,0.8225806451612904,0.7258064516129032,0.9193548387096774
table,specificity,0.6956521739130435,0.5217391304347826,0.8695652173913043
table,balanced_accuracy,0.759116409537167,0.6511044880785415,0.8622019635343618
table,f1,0.85,0.7804878048780488,0.9105691056910569
table,brier,0.12050522757477525,0.07902697983903599,0.16724525803829926
table,log_loss,0.3753914551271529,0.25314382562945037,0.521953936630804
us_table,roc_auc,0.8828892005610098,0.7959326788218793,0.9509116409537167
us_table,accuracy,0.8470588235294118,0.7764705882352941,0.9176470588235294
us_table,sensitivity,0.9354838709677419,0.8709677419354839,0.9838709677419355
us_table,specificity,0.6086956521739131,0.391304347826087,0.782608695652174
us_table,balanced_accuracy,0.7720897615708275,0.6633941093969145,0.8751753155680224
us_table,f1,0.8992248062015504,0.8503937007874016,0.944
us_table,brier,0.11385910308855536,0.0784692191780384,0.15373132941740816
us_table,log_loss,0.3617564047327439,0.25072351520117064,0.5022397923332906
no_noise,roc_auc,0.8709677419354839,0.7875175315568023,0.938288920056101
no_noise,accuracy,0.8235294117647058,0.7529411764705882,0.8941176470588236
no_noise,sensitivity,0.9354838709677419,0.8709677419354839,0.9838709677419355
no_noise,specificity,0.5217391304347826,0.30434782608695654,0.7391304347826086
no_noise,balanced_accuracy,0.7286115007012622,0.6223702664796634,0.8316970546984572
no_noise,f1,0.8854961832061069,0.8386978178368122,0.9291338582677166
no_noise,brier,0.1235851095656299,0.08786019393623651,0.16296593881872687
no_noise,log_loss,0.3753150395363774,0.27817063726913266,0.48708863570189553
main,roc_auc,0.884992987377279,0.800140252454418,0.9509116409537167
main,accuracy,0.8588235294117647,0.788235294117647,0.9176470588235294
main,sensitivity,0.9516129032258065,0.8870967741935484,1.0
main,specificity,0.6086956521739131,0.391304347826087,0.782608695652174
main,balanced_accuracy,0.7801542776998598,0.6714586255259467,0.8807854137447405
main,f1,0.9076923076923077,0.8636363636363636,0.9465648854961832
main,brier,0.11202104647622954,0.07752687424170406,0.15085383157087343
main,log_loss,0.35225144542663,0.24713536573172462,0.4837450107889593
equal,roc_auc,0.8835904628330996,0.7945301542776999,0.9530154277699859
equal,accuracy,0.8470588235294118,0.7764705882352941,0.9058823529411765
equal,sensitivity,0.9516129032258065,0.8870967741935484,1.0
equal,specificity,0.5652173913043478,0.34782608695652173,0.7391304347826086
equal,balanced_accuracy,0.7584151472650771,0.6497194950911641,0.8615007012622721
equal,f1,0.9007633587786259,0.8571428571428571,0.9393939393939394
equal,brier,0.11721252516354225,0.08404638464302404,0.15415094556627362
equal,log_loss,0.36826082226487206,0.28041830752325925,0.4720641781901364
