comparison,metric,difference,lower,upper
main - table,roc_auc,0.0,-0.024544179523141696,0.024544179523141585
main - table,accuracy,0.07058823529411762,0.0,0.14117647058823524
main - table,sensitivity,0.12903225806451613,0.048387096774193616,0.20967741935483875
main - table,specificity,-0.08695652173913038,-0.21739130434782605,0.0
main - table,balanced_accuracy,0.02103786816269282,-0.05469845722300137,0.08870967741935476
main - table,f1,0.05769230769230771,0.00978030475238202,0.1144385724538396
main - table,brier,-0.008484181098545707,-0.027507266962715892,0.008677430282072561
main - table,log_loss,-0.02314000970052288,-0.06635656522530488,0.015922406784672983
main - us_table,roc_auc,0.0021037868162692153,-0.015427769985974837,0.018934081346423604
main - us_table,accuracy,0.0117647058823529,0.0,0.03529411764705892
main - us_table,sensitivity,0.016129032258064613,0.0,0.048387096774193616
main - us_table,specificity,0.0,0.0,0.0
main - us_table,balanced_accuracy,0.008064516129032251,0.0,0.024193548387096864
main - us_table,f1,0.008467501490757257,0.0,0.0269472129937246
main - us_table,brier,-0.0018380566123258196,-0.009394287657559466,0.00549155971710711
main - us_table,log_loss,-0.009504959306113892,-0.029138926329807618,0.008814558631060702
main - no_noise,roc_auc,0.014025245441795176,-0.011220196353436185,0.04137447405329586
main - no_noise,accuracy,0.03529411764705881,0.0,0.08235294117647052
main - no_noise,sensitivity,0.016129032258064613,0.0,0.048387096774193616
main - no_noise,specificity,0.08695652173913049,0.0,0.2173913043478261
main - no_noise,balanced_accuracy,0.05154277699859755,0.0,0.11676016830294533
main - no_noise,f1,0.022196124486200786,0.0,0.0495742219136874
main - no_noise,brier,-0.011564063089400362,-0.024304007054363228,0.0021594107564853362
main - no_noise,log_loss,-0.0230635941097474,-0.061758318549377494,0.022028024432587435
main - equal,roc_auc,0.0014025245441794398,-0.02103786816269293,0.02103786816269282
main - equal,accuracy,0.0117647058823529,0.0,0.03529411764705881
main - equal,sensitivity,0.0,0.0,0.0
main - equal,specificity,0.0434782608695653,0.0,0.13043478260869568
main - equal,balanced_accuracy,0.021739130434782705,0.0,0.0652173913043479
main - equal,f1,0.006928948913681787,0.0,0.02146946564885499
main - equal,brier,-0.005191478687312706,-0.013383856480356872,0.0035957163156211
main - equal,log_loss,-0.01600937683824205,-0.04707251149535082,0.02208928859695844
main - us,roc_auc,0.3667601683029452,0.20825736325385685,0.5147440392706869
main - us,accuracy,0.14117647058823524,0.07058823529411762,0.21176470588235297
main - us,sensitivity,-0.032258064516129004,-0.09677419354838712,0.032258064516129004
main - us,specificity,0.6086956521739131,0.391304347826087,0.782608695652174
main - us,balanced_accuracy,0.28821879382889204,0.17952314165497896,0.38884992987377287
main - us,f1,0.0720758693361433,0.02512697139802189,0.1172956828672278
main - us,brier,-0.09710665404425994,-0.13516595631698838,-0.05448134953214736
main - us,log_loss,-0.26228519329968747,-0.3803962351591414,-0.11691491262978362
main - emg,roc_auc,0.44740532959326784,0.28260869565217384,0.605890603085554
main - emg,accuracy,0.16470588235294115,0.07058823529411762,0.2588235294117647
main - emg,sensitivity,0.048387096774193616,-0.048387096774193505,0.14516129032258063
main - emg,specificity,0.4782608695652174,0.2173913043478261,0.6956521739130435
main - emg,balanced_accuracy,0.2633239831697055,0.13282784011220194,0.388148667601683
main - emg,f1,0.09609810479375691,0.03466754155730534,0.15815658263305324
main - emg,brier,-0.11644755870046097,-0.15788113464612072,-0.07039940046303039
main - emg,log_loss,-0.2972361911206455,-0.414374038162688,-0.15565265440534617
