setting,modality,level,metric,estimate,ci95_low,ci95_high
equal_late,emg,0.0,roc_auc,0.8835904628330996,0.7966339410939692,0.9537166900420756
equal_late,emg,0.0,accuracy,0.8470588235294118,0.7764705882352941,0.9176470588235294
equal_late,emg,0.0,sensitivity,0.9516129032258065,0.8870967741935484,1.0
equal_late,emg,0.0,specificity,0.5652173913043478,0.34782608695652173,0.782608695652174
equal_late,emg,0.0,balanced_accuracy,0.7584151472650772,0.6528576437587659,0.8615007012622721
equal_late,emg,0.0,f1,0.9007633587786259,0.8571428571428571,0.944
equal_late,emg,0.0,brier,0.11721252516354225,0.08315564660367927,0.15392987529961955
equal_late,emg,0.0,log_loss,0.36826082226487217,0.277227398728622,0.4714746306894564
equal_late,emg,0.25,roc_auc,0.8903693314633006,0.8048153342683498,0.9579242636746143
equal_late,emg,0.25,accuracy,0.8470588235294118,0.7764705882352941,0.9176470588235294
equal_late,emg,0.25,sensitivity,0.9516129032258065,0.8870967741935484,1.0
equal_late,emg,0.25,specificity,0.5652173913043478,0.34782608695652173,0.782608695652174
equal_late,emg,0.25,balanced_accuracy,0.7584151472650772,0.6528576437587659,0.8615007012622721
equal_late,emg,0.25,f1,0.9007633587786259,0.8571428571428571,0.944
equal_late,emg,0.25,brier,0.11365685312886492,0.08029999452299484,0.14942485758278642
equal_late,emg,0.25,log_loss,0.3580739323149839,0.2701869916871937,0.45882708298643454
equal_late,emg,0.5,roc_auc,0.8922393641888733,0.8071528751753155,0.959572230014025
equal_late,emg,0.5,accuracy,0.8470588235294118,0.7764705882352941,0.9176470588235294
equal_late,emg,0.5,sensitivity,0.9516129032258065,0.8870967741935484,1.0
equal_late,emg,0.5,specificity,0.5652173913043478,0.34782608695652173,0.782608695652174
equal_late,emg,0.5,balanced_accuracy,0.7584151472650772,0.6528576437587659,0.8615007012622721
equal_late,emg,0.5,f1,0.9007633587786259,0.8571428571428571,0.944
equal_late,emg,0.5,brier,0.1120237454885379,0.07864856060318984,0.14760962130260885
equal_late,emg,0.5,log_loss,0.35411135113275544,0.2657838105682058,0.45497073697583806
equal_late,emg,1.0,roc_auc,0.903225806451613,0.8225748013090229,0.9654043945769052
equal_late,emg,1.0,accuracy,0.8352941176470589,0.7647058823529411,0.9058823529411765
equal_late,emg,1.0,sensitivity,0.9516129032258065,0.8870967741935484,1.0
equal_late,emg,1.0,specificity,0.5217391304347826,0.30434782608695654,0.7391304347826088
equal_late,emg,1.0,balanced_accuracy,0.7366760168302946,0.6279803646563815,0.8397615708274895
equal_late,emg,1.0,f1,0.8939393939393939,0.8507462686567164,0.9365079365079364
equal_late,emg,1.0,brier,0.1087204159263428,0.07610887661374557,0.14401917313311743
equal_late,emg,1.0,log_loss,0.34443817093861906,0.25927550072171673,0.4422042940601824
equal_late,emg,2.0,roc_auc,0.9074333800841514,0.8354371201496026,0.9637681159420289
equal_late,emg,2.0,accuracy,0.8588235294117647,0.788235294117647,0.9176470588235294
equal_late,emg,2.0,sensitivity,0.9516129032258065,0.8870967741935484,1.0
equal_late,emg,2.0,specificity,0.6086956521739131,0.391304347826087,0.782608695652174
equal_late,emg,2.0,balanced_accuracy,0.7801542776998597,0.6770687237026648,0.8832398316970546
equal_late,emg,2.0,f1,0.9076923076923077,0.8636363636363636,0.9465648854961831
equal_late,emg,2.0,brier,0.10671900793504213,0.0746230016832203,0.14208540519557764
equal_late,emg,2.0,log_loss,0.3388447593237604,0.2582566697155029,0.4290121120783448
equal_late,table,0.0,roc_auc,0.8835904628330996,0.7966339410939692,0.9537166900420756
equal_late,table,0.0,accuracy,0.8470588235294118,0.7764705882352941,0.9176470588235294
equal_late,table,0.0,sensitivity,0.9516129032258065,0.8870967741935484,1.0
equal_late,table,0.0,specificity,0.5652173913043478,0.34782608695652173,0.782608695652174
equal_late,table,0.0,balanced_accuracy,0.7584151472650772,0.6528576437587659,0.8615007012622721
equal_late,table,0.0,f1,0.9007633587786259,0.8571428571428571,0.944
equal_late,table,0.0,brier,0.11721252516354225,0.08315564660367927,0.15392987529961955
equal_late,table,0.0,log_loss,0.36826082226487217,0.277227398728622,0.4714746306894564
equal_late,table,0.25,roc_auc,0.8870967741935484,0.8048153342683498,0.9518466573165031
equal_late,table,0.25,accuracy,0.8274509803921569,0.7607843137254902,0.8941176470588235
equal_late,table,0.25,sensitivity,0.9408602150537635,0.8817204301075269,0.989247311827957
equal_late,table,0.25,specificity,0.5217391304347826,0.31884057971014496,0.7246376811594203
equal_late,table,0.25,balanced_accuracy,0.731299672744273,0.6287897381954184,0.834385226741468
equal_late,table,0.25,f1,0.8882927897615781,0.8449617898632368,0.9296355060671035
equal_late,table,0.25,brier,0.1187421709930747,0.08625123318218343,0.15374765702594423
equal_late,table,0.25,log_loss,0.37098328078760084,0.28390300571949506,0.46981006858750424
equal_late,table,0.5,roc_auc,0.874240299205236,0.7947639083683965,0.9385226741467975
equal_late,table,0.5,accuracy,0.823529411764706,0.7647058823529411,0.8785294117647046
equal_late,table,0.5,sensitivity,0.9408602150537634,0.8870967741935484,0.9838709677419355
equal_late,table,0.5,specificity,0.5072463768115942,0.3333333333333333,0.6811594202898551
equal_late,table,0.5,balanced_accuracy,0.7240532959326789,0.6352267414679756,0.8153342683496961
equal_late,table,0.5,f1,0.8860744853111265,0.8480872756846627,0.9218821815363014
equal_late,table,0.5,brier,0.1246824805388188,0.09412464074694757,0.15752441904097053
equal_late,table,0.5,log_loss,0.3855229471492994,0.30457390779102916,0.47694238797433214
equal_late,table,1.0,roc_auc,0.831229546517064,0.7526823281907432,0.8990240766713418
equal_late,table,1.0,accuracy,0.8039215686274511,0.7490196078431373,0.8549019607843138
equal_late,table,1.0,sensitivity,0.9247311827956989,0.8709677419354839,0.967741935483871
equal_late,table,1.0,specificity,0.47826086956521746,0.31884057971014496,0.6376811594202898
equal_late,table,1.0,balanced_accuracy,0.701496026180458,0.6209618980832164,0.7820243104254324
equal_late,table,1.0,f1,0.8731157731157732,0.8364020411804655,0.9068151940387762
equal_late,table,1.0,brier,0.14280228649537322,0.11513582869511217,0.17110881803252495
equal_late,table,1.0,log_loss,0.43528373456370617,0.36030724992604857,0.5134062477547922
equal_late,table,2.0,roc_auc,0.7463768115942028,0.6615240766713418,0.8246844319775596
equal_late,table,2.0,accuracy,0.7647058823529411,0.7215686274509804,0.8078431372549021
equal_late,table,2.0,sensitivity,0.935483870967742,0.8978494623655914,0.967741935483871
equal_late,table,2.0,specificity,0.30434782608695654,0.17391304347826086,0.4492753623188406
equal_late,table,2.0,balanced_accuracy,0.6199158485273492,0.5546984572230014,0.692151706404862
equal_late,table,2.0,f1,0.8529724514839728,0.8251284727926964,0.8801094868089387
equal_late,table,2.0,brier,0.16995163667090085,0.14361854456952602,0.19609985041867484
equal_late,table,2.0,log_loss,0.5223373164666357,0.445613776947806,0.5974327339064021
equal_late,us,0.0,roc_auc,0.8835904628330996,0.7966339410939692,0.9537166900420756
equal_late,us,0.0,accuracy,0.8470588235294118,0.7764705882352941,0.9176470588235294
equal_late,us,0.0,sensitivity,0.9516129032258065,0.8870967741935484,1.0
equal_late,us,0.0,specificity,0.5652173913043478,0.34782608695652173,0.782608695652174
equal_late,us,0.0,balanced_accuracy,0.7584151472650772,0.6528576437587659,0.8615007012622721
equal_late,us,0.0,f1,0.9007633587786259,0.8571428571428571,0.944
equal_late,us,0.0,brier,0.11721252516354225,0.08315564660367927,0.15392987529961955
equal_late,us,0.0,log_loss,0.36826082226487217,0.277227398728622,0.4714746306894564
equal_late,us,0.25,roc_auc,0.8842917251051893,0.8020102851799907,0.9511453950444132
equal_late,us,0.25,accuracy,0.8549019607843137,0.7881372549019608,0.9176470588235294
equal_late,us,0.25,sensitivity,0.946236559139785,0.8870967741935484,0.9946236559139785
equal_late,us,0.25,specificity,0.6086956521739131,0.391304347826087,0.8260869565217391
equal_late,us,0.25,balanced_accuracy,0.777466105656849,0.6716923796166433,0.8805516596540439
equal_late,us,0.25,f1,0.9048698071953886,0.8607448531112653,0.9457364341085271
equal_late,us,0.25,brier,0.1161898694345976,0.08081870018623234,0.15459423356718272
equal_late,us,0.25,log_loss,0.3640947250222799,0.2728413038081755,0.46575046380969404
equal_late,us,0.5,roc_auc,0.8835904628330996,0.7973352033660589,0.9527816736792895
equal_late,us,0.5,accuracy,0.8549019607843137,0.7843137254901961,0.9176470588235294
equal_late,us,0.5,sensitivity,0.946236559139785,0.8870967741935484,0.9946236559139785
equal_late,us,0.5,specificity,0.6086956521739131,0.391304347826087,0.8260869565217391
equal_late,us,0.5,balanced_accuracy,0.777466105656849,0.6716923796166433,0.8805516596540439
equal_late,us,0.5,f1,0.9048698071953886,0.8607448531112653,0.9457364341085271
equal_late,us,0.5,brier,0.11460680032273163,0.07940039553397944,0.1533966699464982
equal_late,us,0.5,log_loss,0.36315390769362144,0.2722754477332459,0.4659280721608229
equal_late,us,1.0,roc_auc,0.8866292660121552,0.7980364656381487,0.9555867227676483
equal_late,us,1.0,accuracy,0.8039215686274511,0.7215686274509804,0.8823529411764706
equal_late,us,1.0,sensitivity,0.8602150537634409,0.7741935483870966,0.9354838709677419
equal_late,us,1.0,specificity,0.6521739130434783,0.43478260869565216,0.8260869565217391
equal_late,us,1.0,balanced_accuracy,0.7561944834034596,0.6501811594202899,0.859513791491351
equal_late,us,1.0,f1,0.864848325902614,0.803305785123967,0.9193548387096774
equal_late,us,1.0,brier,0.11641196473757924,0.08106198445005489,0.15552296482295683
equal_late,us,1.0,log_loss,0.37141024960539565,0.2805640713419391,0.47536472254751244
equal_late,us,2.0,roc_auc,0.8906030855539973,0.8045757363253857,0.9572230014025246
equal_late,us,2.0,accuracy,0.811764705882353,0.7294117647058823,0.8823529411764706
equal_late,us,2.0,sensitivity,0.8709677419354839,0.7903225806451614,0.9516129032258065
equal_late,us,2.0,specificity,0.6521739130434783,0.43478260869565216,0.8260869565217391
equal_late,us,2.0,balanced_accuracy,0.7615708274894809,0.6553295932678822,0.8671107994389903
equal_late,us,2.0,f1,0.8709677419354839,0.8103448275862069,0.923076923076923
equal_late,us,2.0,brier,0.11568258059157348,0.08070796254720077,0.1544991074150555
equal_late,us,2.0,log_loss,0.3697156449278948,0.2796828835498947,0.4721255145039168
positive_margin,emg,0.0,roc_auc,0.884992987377279,0.7994389901823281,0.9523141654978962
positive_margin,emg,0.0,accuracy,0.8588235294117647,0.788235294117647,0.9176470588235294
positive_margin,emg,0.0,sensitivity,0.9516129032258065,0.8870967741935484,1.0
positive_margin,emg,0.0,specificity,0.6086956521739131,0.391304347826087,0.8260869565217391
positive_margin,emg,0.0,balanced_accuracy,0.7801542776998597,0.6770687237026648,0.8832398316970546
positive_margin,emg,0.0,f1,0.9076923076923077,0.8636363636363636,0.9465648854961831
positive_margin,emg,0.0,brier,0.11202104647622953,0.07641999387906875,0.15148571441410366
positive_margin,emg,0.0,log_loss,0.35225144542662995,0.24504158731835593,0.4839645622679049
positive_margin,emg,0.25,roc_auc,0.8854604955586721,0.800368162692847,0.9527875175315565
positive_margin,emg,0.25,accuracy,0.8588235294117647,0.788235294117647,0.9176470588235294
positive_margin,emg,0.25,sensitivity,0.9516129032258065,0.8870967741935484,1.0
positive_margin,emg,0.25,specificity,0.6086956521739131,0.391304347826087,0.8260869565217391
positive_margin,emg,0.25,balanced_accuracy,0.7801542776998597,0.6770687237026648,0.8832398316970546
positive_margin,emg,0.25,f1,0.9076923076923077,0.8636363636363636,0.9465648854961831
positive_margin,emg,0.25,brier,0.11168187949572712,0.07638766398867093,0.1506084163827877
positive_margin,emg,0.25,log_loss,0.34990261956783714,0.24362019546286032,0.48141522427327804
positive_margin,emg,0.5,roc_auc,0.8868630201028518,0.8029453015427771,0.9532550257129498
positive_margin,emg,0.5,accuracy,0.8588235294117647,0.788235294117647,0.9176470588235294
positive_margin,emg,0.5,sensitivity,0.9516129032258065,0.8870967741935484,1.0
positive_margin,emg,0.5,specificity,0.6086956521739131,0.391304347826087,0.8260869565217391
positive_margin,emg,0.5,balanced_accuracy,0.7801542776998597,0.6770687237026648,0.8832398316970546
positive_margin,emg,0.5,f1,0.9076923076923077,0.8636363636363636,0.9465648854961831
positive_margin,emg,0.5,brier,0.11170167581614959,0.07617021192877003,0.15133695477547496
positive_margin,emg,0.5,log_loss,0.35045720171979955,0.2434863590065708,0.48251365362341686
positive_margin,emg,1.0,roc_auc,0.8920056100981767,0.8099579242636746,0.955820476858345
positive_margin,emg,1.0,accuracy,0.8588235294117647,0.788235294117647,0.9176470588235294
positive_margin,emg,1.0,sensitivity,0.9516129032258065,0.8870967741935484,1.0
positive_margin,emg,1.0,specificity,0.6086956521739131,0.391304347826087,0.8260869565217391
