setting,modality,level,comparison,metric,estimate,ci95_low,ci95_high
equal_late,emg,0.0,corrupted_minus_clean,roc_auc,0.0,0.0,0.0
equal_late,emg,0.0,corrupted_minus_clean,accuracy,0.0,0.0,0.0
equal_late,emg,0.0,corrupted_minus_clean,sensitivity,0.0,0.0,0.0
equal_late,emg,0.0,corrupted_minus_clean,specificity,0.0,0.0,0.0
equal_late,emg,0.0,corrupted_minus_clean,balanced_accuracy,0.0,0.0,0.0
equal_late,emg,0.0,corrupted_minus_clean,f1,0.0,0.0,0.0
equal_late,emg,0.0,corrupted_minus_clean,brier,0.0,0.0,0.0
equal_late,emg,0.0,corrupted_minus_clean,log_loss,0.0,0.0,0.0
equal_late,emg,0.25,corrupted_minus_clean,roc_auc,0.0067788686302009404,-0.005610098176717981,0.021739130434782594
equal_late,emg,0.25,corrupted_minus_clean,accuracy,0.0,0.0,0.0
equal_late,emg,0.25,corrupted_minus_clean,sensitivity,0.0,0.0,0.0
equal_late,emg,0.25,corrupted_minus_clean,specificity,0.0,0.0,0.0
equal_late,emg,0.25,corrupted_minus_clean,balanced_accuracy,0.0,0.0,0.0
equal_late,emg,0.25,corrupted_minus_clean,f1,0.0,0.0,0.0
equal_late,emg,0.25,corrupted_minus_clean,brier,-0.0035556720346773263,-0.007289742781370124,0.00019533847605401135
equal_late,emg,0.25,corrupted_minus_clean,log_loss,-0.010186889949888256,-0.01896159612015994,-0.0013362068642969215
equal_late,emg,0.5,corrupted_minus_clean,roc_auc,0.008648901355773675,-0.0021037868162692153,0.021972884525479075
equal_late,emg,0.5,corrupted_minus_clean,accuracy,0.0,0.0,0.0
equal_late,emg,0.5,corrupted_minus_clean,sensitivity,0.0,0.0,0.0
equal_late,emg,0.5,corrupted_minus_clean,specificity,0.0,0.0,0.0
equal_late,emg,0.5,corrupted_minus_clean,balanced_accuracy,0.0,0.0,0.0
equal_late,emg,0.5,corrupted_minus_clean,f1,0.0,0.0,0.0
equal_late,emg,0.5,corrupted_minus_clean,brier,-0.0051887796750043486,-0.009557348561832074,-0.0009533850812542524
equal_late,emg,0.5,corrupted_minus_clean,log_loss,-0.014149471132116731,-0.02504117263893183,-0.0035730097143050646
equal_late,emg,1.0,corrupted_minus_clean,roc_auc,0.01963534361851338,0.004675081813931725,0.03856942496493687
equal_late,emg,1.0,corrupted_minus_clean,accuracy,-0.0117647058823529,-0.03529411764705892,0.0
equal_late,emg,1.0,corrupted_minus_clean,sensitivity,0.0,0.0,0.0
equal_late,emg,1.0,corrupted_minus_clean,specificity,-0.04347826086956519,-0.13043478260869568,0.0
equal_late,emg,1.0,corrupted_minus_clean,balanced_accuracy,-0.021739130434782594,-0.065217391304348,0.0
equal_late,emg,1.0,corrupted_minus_clean,f1,-0.006823964839231977,-0.02114164904862581,0.0
equal_late,emg,1.0,corrupted_minus_clean,brier,-0.008492109237199452,-0.01375764165108323,-0.0032435691193200347
equal_late,emg,1.0,corrupted_minus_clean,log_loss,-0.023822651326253108,-0.03800675462284496,-0.00985915549855672
equal_late,emg,2.0,corrupted_minus_clean,roc_auc,0.02384291725105181,-0.0021037868162693263,0.05517180925666199
equal_late,emg,2.0,corrupted_minus_clean,accuracy,0.0117647058823529,0.0,0.03529411764705892
equal_late,emg,2.0,corrupted_minus_clean,sensitivity,0.0,0.0,0.0
equal_late,emg,2.0,corrupted_minus_clean,specificity,0.0434782608695653,0.0,0.13043478260869568
equal_late,emg,2.0,corrupted_minus_clean,balanced_accuracy,0.021739130434782483,0.0,0.065217391304348
equal_late,emg,2.0,corrupted_minus_clean,f1,0.006928948913681787,0.0,0.02146946564885488
equal_late,emg,2.0,corrupted_minus_clean,brier,-0.010493517228500115,-0.02196153904216407,-8.989499499905598e-05
equal_late,emg,2.0,corrupted_minus_clean,log_loss,-0.029416062941111765,-0.06279552187794586,0.00046968735171573525
equal_late,table,0.0,corrupted_minus_clean,roc_auc,0.0,0.0,0.0
equal_late,table,0.0,corrupted_minus_clean,accuracy,0.0,0.0,0.0
equal_late,table,0.0,corrupted_minus_clean,sensitivity,0.0,0.0,0.0
equal_late,table,0.0,corrupted_minus_clean,specificity,0.0,0.0,0.0
equal_late,table,0.0,corrupted_minus_clean,balanced_accuracy,0.0,0.0,0.0
equal_late,table,0.0,corrupted_minus_clean,f1,0.0,0.0,0.0
equal_late,table,0.0,corrupted_minus_clean,brier,0.0,0.0,0.0
equal_late,table,0.0,corrupted_minus_clean,log_loss,0.0,0.0,0.0
equal_late,table,0.25,corrupted_minus_clean,roc_auc,0.003506311360448766,-0.012388966806919036,0.01963534361851349
equal_late,table,0.25,corrupted_minus_clean,accuracy,-0.019607843137254832,-0.04313725490196063,-0.0039215686274509665
equal_late,table,0.25,corrupted_minus_clean,sensitivity,-0.010752688172043001,-0.026881720430107503,0.0
