comparison,metric,difference,ci95_low,ci95_high
clinical_no_calf - qmf_no_calf,roc_auc,0.049789621318373056,-0.03856942496493687,0.13956872370266463
clinical_no_calf - qmf_no_calf,accuracy,0.04705882352941182,-0.02352941176470591,0.11764705882352944
clinical_no_calf - qmf_no_calf,sensitivity,-0.048387096774193505,-0.11290322580645162,0.016129032258064502
clinical_no_calf - qmf_no_calf,specificity,0.3043478260869565,0.13043478260869562,0.4782608695652174
clinical_no_calf - qmf_no_calf,balanced_accuracy,0.12798036465638152,0.03050490883590462,0.2310659186535764
clinical_no_calf - qmf_no_calf,f1,0.0203676105315449,-0.031026072861268284,0.06848026738001355
clinical_no_calf - qmf_no_calf,brier,-0.019701557519779367,-0.059233978091562826,0.020210285589508343
clinical_no_calf - qmf_no_calf,log_loss,-0.03311261517345826,-0.14572886409907473,0.08149737995138881
clinical_no_calf - equal_no_calf,roc_auc,0.048387096774193505,-0.037868162692847096,0.13744740532959332
clinical_no_calf - equal_no_calf,accuracy,0.04705882352941182,-0.03529411764705881,0.12941176470588234
clinical_no_calf - equal_no_calf,sensitivity,-0.048387096774193505,-0.12903225806451613,0.032258064516129004
clinical_no_calf - equal_no_calf,specificity,0.3043478260869565,0.13043478260869562,0.4782608695652174
clinical_no_calf - equal_no_calf,balanced_accuracy,0.12798036465638152,0.030487377279102394,0.2366760168302945
clinical_no_calf - equal_no_calf,f1,0.0203676105315449,-0.036241752458472234,0.07496181660250129
clinical_no_calf - equal_no_calf,brier,-0.02092719364538015,-0.061152872742832105,0.020007952335009564
clinical_no_calf - equal_no_calf,log_loss,-0.04609529239366822,-0.15463550156273176,0.06789569057987209
