model,metric,estimate,ci95_low,ci95_high
clinical,roc_auc,0.9368863955119214,0.8786816269284713,0.9817671809256662
clinical,accuracy,0.8588235294117647,0.7764705882352941,0.9294117647058824
clinical,sensitivity,0.8387096774193549,0.7419354838709677,0.9193548387096774
clinical,specificity,0.9130434782608695,0.782608695652174,1.0
clinical,balanced_accuracy,0.8758765778401122,0.7976858345021038,0.9435483870967742
clinical,f1,0.896551724137931,0.8333333333333334,0.95
clinical,brier,0.09426359007905515,0.05604697393985511,0.1389380624860985
clinical,log_loss,0.31182351440017236,0.19377355570025076,0.4554328070626082
clinical_no_calf,roc_auc,0.8695652173913043,0.7840112201963534,0.9404102384291723
clinical_no_calf,accuracy,0.8117647058823529,0.7294117647058823,0.8941176470588236
clinical_no_calf,sensitivity,0.8548387096774194,0.7580645161290323,0.9354838709677419
clinical_no_calf,specificity,0.6956521739130435,0.5217391304347826,0.8695652173913043
clinical_no_calf,balanced_accuracy,0.7752454417952315,0.6665497896213184,0.8758765778401122
clinical_no_calf,f1,0.8688524590163934,0.8067226890756303,0.926829268292683
clinical_no_calf,brier,0.13056703342896872,0.08921432330596415,0.1752300696691662
clinical_no_calf,log_loss,0.40710428413455385,0.2964297272712165,0.5299768780226999
qmf,roc_auc,0.884992987377279,0.8022440392706872,0.9509116409537167
qmf,accuracy,0.8588235294117647,0.788235294117647,0.9176470588235294
qmf,sensitivity,0.9516129032258065,0.8870967741935484,1.0
qmf,specificity,0.6086956521739131,0.391304347826087,0.782608695652174
qmf,balanced_accuracy,0.7801542776998598,0.6770687237026648,0.8807854137447405
qmf,f1,0.9076923076923077,0.8636363636363636,0.9465648854961832
qmf,brier,0.11202104647622954,0.0772560607279874,0.1511873347811227
qmf,log_loss,0.35225144542663,0.245605278551795,0.48474743728693415
qmf_no_calf,roc_auc,0.8197755960729313,0.7223001402524544,0.9004207573632539
qmf_no_calf,accuracy,0.7647058823529411,0.6941176470588235,0.8352941176470589
qmf_no_calf,sensitivity,0.9032258064516129,0.8225806451612904,0.967741935483871
qmf_no_calf,specificity,0.391304347826087,0.21739130434782608,0.6086956521739131
qmf_no_calf,balanced_accuracy,0.64726507713885,0.5466339410939691,0.7528050490883591
qmf_no_calf,f1,0.8484848484848485,0.7969924812030075,0.8955223880597015
qmf_no_calf,brier,0.1502685909487481,0.11589768864674395,0.187488384034296
qmf_no_calf,log_loss,0.4402168993080121,0.35179986808462,0.5384182772258758
equal,roc_auc,0.8835904628330996,0.7980364656381487,0.9530154277699859
equal,accuracy,0.8470588235294118,0.7764705882352941,0.9058823529411765
equal,sensitivity,0.9516129032258065,0.8870967741935484,1.0
equal,specificity,0.5652173913043478,0.34782608695652173,0.7391304347826086
equal,balanced_accuracy,0.7584151472650771,0.6553295932678822,0.8590462833099579
equal,f1,0.9007633587786259,0.8571428571428571,0.9393939393939394
equal,brier,0.11721252516354225,0.08403168639697821,0.15340320201954954
equal,log_loss,0.36826082226487206,0.2796924023693805,0.4719971967232806
equal_no_calf,roc_auc,0.8211781206171108,0.7258064516129032,0.9032258064516129
equal_no_calf,accuracy,0.7647058823529411,0.6941176470588235,0.8352941176470589
equal_no_calf,sensitivity,0.9032258064516129,0.8225806451612904,0.967741935483871
equal_no_calf,specificity,0.391304347826087,0.21739130434782608,0.6086956521739131
equal_no_calf,balanced_accuracy,0.64726507713885,0.544179523141655,0.7503506311360448
equal_no_calf,f1,0.8484848484848485,0.796875,0.8939393939393939
equal_no_calf,brier,0.15149422707434887,0.11753074395070218,0.18742462871885418
equal_no_calf,log_loss,0.45319957652822207,0.3681450115996762,0.5440769110848973
