comparison,metric,difference,ci95_low,ci95_high
clinical - clinical_no_calf,roc_auc,0.06732117812061711,0.006311360448807868,0.135343618513324
clinical - clinical_no_calf,accuracy,0.04705882352941171,-0.02352941176470591,0.11764705882352944
clinical - clinical_no_calf,sensitivity,-0.016129032258064502,-0.08064516129032262,0.048387096774193616
clinical - clinical_no_calf,specificity,0.21739130434782605,0.08695652173913038,0.391304347826087
clinical - clinical_no_calf,balanced_accuracy,0.10063113604488072,0.013674614305750343,0.19565217391304346
clinical - clinical_no_calf,f1,0.027699265121537642,-0.02349966535286685,0.07754846779237023
clinical - clinical_no_calf,brier,-0.036303443349913575,-0.07044276784204326,-0.0028846861035853526
clinical - clinical_no_calf,log_loss,-0.09528076973438149,-0.1933278250758779,0.001074006186396088
qmf - qmf_no_calf,roc_auc,0.06521739130434778,0.014726507713884951,0.12272089761570826
qmf - qmf_no_calf,accuracy,0.09411764705882353,0.03529411764705881,0.15294117647058825
qmf - qmf_no_calf,sensitivity,0.048387096774193616,0.0,0.11290322580645151
qmf - qmf_no_calf,specificity,0.2173913043478261,0.08695652173913038,0.391304347826087
qmf - qmf_no_calf,balanced_accuracy,0.13288920056100983,0.05154277699859744,0.22791023842917246
qmf - qmf_no_calf,f1,0.05920745920745918,0.022301729278473514,0.10064759630430933
qmf - qmf_no_calf,brier,-0.038247544472518546,-0.05997033278712605,-0.017133371614950224
qmf - qmf_no_calf,log_loss,-0.0879654538813821,-0.1530115703331191,-0.015424182167650183
equal - equal_no_calf,roc_auc,0.06241234221598879,-0.0014025245441794398,0.12975105189340788
equal - equal_no_calf,accuracy,0.08235294117647063,0.03529411764705881,0.14117647058823535
equal - equal_no_calf,sensitivity,0.048387096774193616,0.0,0.11290322580645162
equal - equal_no_calf,specificity,0.1739130434782608,0.04347826086956519,0.34782608695652173
equal - equal_no_calf,balanced_accuracy,0.11115007012622713,0.037868162692847096,0.19810659186535762
equal - equal_no_calf,f1,0.05227851029377739,0.0197309092220357,0.09230822961645924
equal - equal_no_calf,brier,-0.03428170191080662,-0.057015392520051354,-0.012172605020430043
equal - equal_no_calf,log_loss,-0.08493875426335001,-0.14757358113600497,-0.020301704000212983
qmf_no_calf - equal_no_calf,roc_auc,-0.0014025245441795509,-0.03155680224403934,0.028751753155680237
qmf_no_calf - equal_no_calf,accuracy,0.0,-0.03529411764705881,0.03529411764705881
qmf_no_calf - equal_no_calf,sensitivity,0.0,-0.048387096774193505,0.048387096774193505
qmf_no_calf - equal_no_calf,specificity,0.0,0.0,0.0
qmf_no_calf - equal_no_calf,balanced_accuracy,0.0,-0.024193548387096753,0.024193548387096753
qmf_no_calf - equal_no_calf,f1,0.0,-0.025873507297655918,0.026320158706509347
qmf_no_calf - equal_no_calf,brier,-0.001225636125600782,-0.01180170577615486,0.009833226325454683
qmf_no_calf - equal_no_calf,log_loss,-0.01298267722020996,-0.042054786699934156,0.01816823427895002
