method,metric,estimate,ci95_low,ci95_high
equal_late,roc_auc,0.8541374474053296,0.7517531556802244,0.9376051893408132
equal_late,accuracy,0.8235294117647058,0.7529411764705882,0.8941176470588236
equal_late,sensitivity,0.9354838709677419,0.8709677419354839,0.9838709677419355
equal_late,specificity,0.5217391304347826,0.30434782608695654,0.7391304347826086
equal_late,balanced_accuracy,0.7286115007012622,0.6199158485273493,0.8317759467040662
equal_late,f1,0.8854961832061069,0.8372093023255814,0.9302325581395349
equal_late,brier,0.12865511516093817,0.09800423254141845,0.1617894403924453
equal_late,log_loss,0.408277824526623,0.3251219095993538,0.5024080760599222
qmf,roc_auc,0.8702664796633941,0.7805049088359046,0.9431977559607293
qmf,accuracy,0.8352941176470589,0.7647058823529411,0.9058823529411765
qmf,sensitivity,0.9354838709677419,0.8709677419354839,0.9838709677419355
qmf,specificity,0.5652173913043478,0.34782608695652173,0.782608695652174
qmf,balanced_accuracy,0.7503506311360448,0.6416549789621318,0.8534361851332398
qmf,f1,0.8923076923076924,0.84375,0.9375
qmf,brier,0.12181954602184514,0.08562519724186887,0.1619084081812908
qmf,log_loss,0.3766306822502346,0.2770661103810577,0.4887147801410284
tmc,roc_auc,0.9004207573632539,0.8281907433380085,0.9593267882187938
tmc,accuracy,0.8117647058823529,0.7529411764705882,0.8705882352941177
tmc,sensitivity,0.967741935483871,0.9193548387096774,1.0
tmc,specificity,0.391304347826087,0.21739130434782608,0.6086956521739131
tmc,balanced_accuracy,0.679523141654979,0.5788920056100981,0.7826086956521738
tmc,f1,0.8823529411764706,0.8450704225352113,0.9185185185185185
tmc,brier,0.12192190790767479,0.09388912296123267,0.15153119986899008
tmc,log_loss,0.38273216288247874,0.31496356095733896,0.4547578918565068
