comparison,metric,estimate,ci95_low,ci95_high
qmf minus equal_late,roc_auc,0.016129032258064502,-0.019635343618513268,0.05539971949509115
qmf minus equal_late,accuracy,0.01176470588235301,0.0,0.03529411764705881
qmf minus equal_late,sensitivity,0.0,0.0,0.0
qmf minus equal_late,specificity,0.04347826086956519,0.0,0.13043478260869568
qmf minus equal_late,balanced_accuracy,0.021739130434782594,0.0,0.0652173913043479
qmf minus equal_late,f1,0.006811509101585456,0.0,0.02111239141705538
qmf minus equal_late,brier,-0.0068355691390930284,-0.01804172122155518,0.005321794646128419
qmf minus equal_late,log_loss,-0.031647142276388374,-0.06204664491882383,0.0018331517610764873
tmc minus qmf,roc_auc,0.03015427769985979,-0.0021037868162693263,0.07082748948106588
tmc minus qmf,accuracy,-0.02352941176470591,-0.08235294117647052,0.02352941176470591
tmc minus qmf,sensitivity,0.032258064516129115,0.0,0.08064516129032262
tmc minus qmf,specificity,-0.1739130434782608,-0.34782608695652173,-0.04347826086956519
tmc minus qmf,balanced_accuracy,-0.07082748948106588,-0.15778401122019625,0.0024544179523141585
tmc minus qmf,f1,-0.009954751131221795,-0.04239506853948539,0.025333497591759468
tmc minus qmf,brier,0.00010236188582965489,-0.015371540420488236,0.014747088147653067
tmc minus qmf,log_loss,0.006101480632244138,-0.04860408526246523,0.051785830103103586
tmc minus equal_late,roc_auc,0.04628330995792429,0.005610098176718092,0.09817671809256667
tmc minus equal_late,accuracy,-0.0117647058823529,-0.07058823529411762,0.04705882352941182
tmc minus equal_late,sensitivity,0.032258064516129115,0.0,0.08064516129032262
tmc minus equal_late,specificity,-0.13043478260869562,-0.30434782608695654,0.043478260869565244
tmc minus equal_late,balanced_accuracy,-0.04908835904628328,-0.14410939691444602,0.045932678821879236
tmc minus equal_late,f1,-0.0031432420296363395,-0.03881627341141847,0.03444316877152698
tmc minus equal_late,brier,-0.0067332072532633735,-0.018519302026960845,0.0045112615056914565
tmc minus equal_late,log_loss,-0.025545661644144235,-0.06635184174988212,0.009666966851207047
