modality,shift,q_change,changed_predictions,mean_abs_probability_change,roc_auc,accuracy,sensitivity,specificity,balanced_accuracy,f1,brier,log_loss
us,-5.0,-0.5,17,0.11962409481538328,0.8884992987377279,0.7764705882352941,0.7580645161290323,0.8260869565217391,0.7920757363253856,0.831858407079646,0.13598665848807417,0.4128602344047434
us,-1.0,-0.1,3,0.020939093619741757,0.8737727910238429,0.8235294117647058,0.9032258064516129,0.6086956521739131,0.755960729312763,0.8818897637795275,0.12092448369289505,0.37296627745839317
us,1.0,0.1,0,0.01928597101537861,0.8667601683029453,0.8352941176470589,0.9354838709677419,0.5652173913043478,0.7503506311360448,0.8923076923076924,0.12394731839724868,0.3844088502130962
us,5.0,0.5,4,0.08074964031049243,0.8534361851332398,0.8352941176470589,0.967741935483871,0.4782608695652174,0.7230014025245441,0.8955223880597015,0.1398579680548985,0.4451825867987101
emg,-5.0,-0.5,7,0.05066361885635,0.8772791023842917,0.8,0.8548387096774194,0.6521739130434783,0.7535063113604488,0.8617886178861789,0.12014754193887578,0.37224306270487034
emg,-1.0,-0.1,1,0.009158466849258397,0.8716690042075736,0.8470588235294118,0.9354838709677419,0.6086956521739131,0.7720897615708275,0.8992248062015504,0.12073350569033077,0.37282038029464704
emg,1.0,0.1,0,0.008719002314329741,0.8667601683029453,0.8352941176470589,0.9354838709677419,0.5652173913043478,0.7503506311360448,0.8923076923076924,0.12307921051124121,0.38156869268537935
emg,5.0,0.5,0,0.03972527548443538,0.8548387096774194,0.8352941176470589,0.9354838709677419,0.5652173913043478,0.7503506311360448,0.8923076923076924,0.12929546621115412,0.4104147404079904
table,-5.0,-0.5,33,0.3080357306492835,0.30575035063113604,0.5647058823529412,0.7580645161290323,0.043478260869565216,0.4007713884992987,0.7175572519083969,0.26388772394703347,0.7283804345119997
table,-1.0,-0.1,0,0.03601947233063492,0.8597475455820477,0.8352941176470589,0.9354838709677419,0.5652173913043478,0.7503506311360448,0.8923076923076924,0.12681941076266315,0.39178879443449427
table,1.0,0.1,2,0.027150038263352723,0.8737727910238429,0.8352941176470589,0.9193548387096774,0.6086956521739131,0.7640252454417953,0.890625,0.12079995425076165,0.3735559748794952
table,5.0,0.5,5,0.08542867137230764,0.884992987377279,0.8235294117647058,0.8870967741935484,0.6521739130434783,0.7696353436185133,0.88,0.12803653187100178,0.41846199763730824
