setting,modality,level,metric,estimate,ci95_low,ci95_high
equal_late,emg,0.0,roc_auc,0.8541374474053297,0.7538569424964937,0.938288920056101
equal_late,emg,0.0,accuracy,0.823529411764706,0.7529411764705882,0.8941176470588236
equal_late,emg,0.0,sensitivity,0.9354838709677419,0.8709677419354839,0.9838709677419355
equal_late,emg,0.0,specificity,0.5217391304347826,0.30434782608695654,0.7391304347826088
equal_late,emg,0.0,balanced_accuracy,0.7286115007012622,0.6199158485273493,0.8316970546984571
equal_late,emg,0.0,f1,0.8854961832061069,0.8387096774193549,0.9302325581395349
equal_late,emg,0.0,brier,0.12865511516093817,0.09794473869608361,0.16176402051975264
equal_late,emg,0.0,log_loss,0.40827782452662303,0.3245154385119038,0.5023810947092904
equal_late,emg,0.25,roc_auc,0.8553062178588126,0.7538569424964937,0.9389901823281908
equal_late,emg,0.25,accuracy,0.811764705882353,0.7411764705882353,0.8823529411764706
equal_late,emg,0.25,sensitivity,0.9354838709677419,0.8709677419354839,0.9838709677419355
equal_late,emg,0.25,specificity,0.47826086956521746,0.2608695652173913,0.6956521739130435
equal_late,emg,0.25,balanced_accuracy,0.7068723702664798,0.6013323983169705,0.8155680224403928
equal_late,emg,0.25,f1,0.8787878787878788,0.8321167883211679,0.923076923076923
equal_late,emg,0.25,brier,0.12655413963060194,0.09622247829299094,0.15905846258819484
equal_late,emg,0.25,log_loss,0.40330396566007676,0.32158373935704104,0.49633691897600335
equal_late,emg,0.5,roc_auc,0.8267882187938289,0.7225280504908835,0.9142180925666199
equal_late,emg,0.5,accuracy,0.6823529411764705,0.5882352941176471,0.7764705882352941
equal_late,emg,0.5,sensitivity,0.6290322580645161,0.5161290322580645,0.7419354838709676
equal_late,emg,0.5,specificity,0.8260869565217391,0.6521739130434783,0.9565217391304349
equal_late,emg,0.5,balanced_accuracy,0.7275596072931276,0.6269284712482468,0.8169705469845723
equal_late,emg,0.5,f1,0.7428571428571429,0.6464488636363637,0.8256880733944955
equal_late,emg,0.5,brier,0.20535222351230883,0.1581553266144392,0.2548841598713388
equal_late,emg,0.5,log_loss,0.5904186254445323,0.47357116705531294,0.7140800202520952
equal_late,emg,1.0,roc_auc,0.8396446937821412,0.7365532959326789,0.9249649368863956
equal_late,emg,1.0,accuracy,0.6784313725490195,0.5803921568627451,0.7725490196078431
equal_late,emg,1.0,sensitivity,0.6075268817204301,0.489247311827957,0.7258064516129034
equal_late,emg,1.0,specificity,0.8695652173913043,0.7391304347826088,1.0
equal_late,emg,1.0,balanced_accuracy,0.7385460495558672,0.6435250116877045,0.8250350631136044
equal_late,emg,1.0,f1,0.7337394504727457,0.6326530612244898,0.8214285714285715
equal_late,emg,1.0,brier,0.213605855446837,0.16633996946855947,0.2625580691309629
equal_late,emg,1.0,log_loss,0.6141407487226164,0.4975458633246422,0.7376575408795372
equal_late,emg,2.0,roc_auc,0.8464235624123422,0.7459093034128097,0.9291725105189341
equal_late,emg,2.0,accuracy,0.6588235294117647,0.5647058823529412,0.7529411764705882
equal_late,emg,2.0,sensitivity,0.5806451612903226,0.45161290322580644,0.6935483870967744
equal_late,emg,2.0,specificity,0.8695652173913043,0.7391304347826088,1.0
equal_late,emg,2.0,balanced_accuracy,0.7251051893408135,0.6276297335203366,0.814516129032258
equal_late,emg,2.0,f1,0.712871287128713,0.6041666666666666,0.8037383177570093
equal_late,emg,2.0,brier,0.2102457585952957,0.1635478382914354,0.2587335182525451
equal_late,emg,2.0,log_loss,0.6066326466700999,0.4931337133793533,0.7275435331359531
equal_late,table,0.0,roc_auc,0.8541374474053297,0.7538569424964937,0.938288920056101
equal_late,table,0.0,accuracy,0.823529411764706,0.7529411764705882,0.8941176470588236
equal_late,table,0.0,sensitivity,0.9354838709677419,0.8709677419354839,0.9838709677419355
equal_late,table,0.0,specificity,0.5217391304347826,0.30434782608695654,0.7391304347826088
equal_late,table,0.0,balanced_accuracy,0.7286115007012622,0.6199158485273493,0.8316970546984571
equal_late,table,0.0,f1,0.8854961832061069,0.8387096774193549,0.9302325581395349
equal_late,table,0.0,brier,0.12865511516093817,0.09794473869608361,0.16176402051975264
equal_late,table,0.0,log_loss,0.40827782452662303,0.3245154385119038,0.5023810947092904
equal_late,table,0.25,roc_auc,0.8576437587657785,0.758765778401122,0.9396914446002805
equal_late,table,0.25,accuracy,0.7999999999999999,0.7333333333333334,0.8627450980392157
equal_late,table,0.25,sensitivity,0.9408602150537634,0.8763440860215054,0.989247311827957
equal_late,table,0.25,specificity,0.4202898550724638,0.2318840579710145,0.6086956521739131
equal_late,table,0.25,balanced_accuracy,0.6805750350631136,0.584963768115942,0.7801542776998597
equal_late,table,0.25,f1,0.8728537762316239,0.8303625601695487,0.9124198717948717
equal_late,table,0.25,brier,0.13015609896722033,0.10052368602954571,0.16185126034708838
equal_late,table,0.25,log_loss,0.4099812478521509,0.3296634288697075,0.499813579512869
equal_late,table,0.5,roc_auc,0.8452547919588592,0.7517473118279568,0.9242636746143057
equal_late,table,0.5,accuracy,0.7803921568627451,0.7215686274509804,0.8392156862745098
equal_late,table,0.5,sensitivity,0.9247311827956989,0.8655913978494624,0.9731182795698925
equal_late,table,0.5,specificity,0.391304347826087,0.2318840579710145,0.5652173913043478
equal_late,table,0.5,balanced_accuracy,0.658017765310893,0.5748013090229079,0.7474345488546049
equal_late,table,0.5,f1,0.8601250601250601,0.8209238093531238,0.8966763380343133
equal_late,table,0.5,brier,0.13440235087409166,0.1062253161805879,0.16378589128953433
equal_late,table,0.5,log_loss,0.41920263614061665,0.3443790872640129,0.5002779361904014
equal_late,table,1.0,roc_auc,0.8069191210846189,0.7197230014025245,0.8847650771388498
equal_late,table,1.0,accuracy,0.792156862745098,0.7450980392156863,0.8392156862745098
equal_late,table,1.0,sensitivity,0.946236559139785,0.9086021505376344,0.978494623655914
equal_late,table,1.0,specificity,0.3768115942028986,0.2318840579710145,0.5362318840579711
equal_late,table,1.0,balanced_accuracy,0.6615240766713417,0.5863662926601215,0.742052360916316
equal_late,table,1.0,f1,0.869213821339197,0.8406101142290737,0.8977987101517824
equal_late,table,1.0,brier,0.14751221857294172,0.12233680452839003,0.17308183157021728
equal_late,table,1.0,log_loss,0.4538001985140041,0.3868057144844309,0.5236086248225944
equal_late,table,2.0,roc_auc,0.7251051893408134,0.6337014960261804,0.8118279569892474
equal_late,table,2.0,accuracy,0.7607843137254902,0.7137254901960784,0.8078431372549019
equal_late,table,2.0,sensitivity,0.9516129032258065,0.913978494623656,0.9838709677419355
equal_late,table,2.0,specificity,0.24637681159420288,0.11594202898550725,0.3913043478260869
equal_late,table,2.0,balanced_accuracy,0.5989948574100047,0.5302653108929406,0.6749649368863956
equal_late,table,2.0,f1,0.8528373456650193,0.8251292896569377,0.8797845560878474
equal_late,table,2.0,brier,0.1689399191853045,0.1449435890301396,0.1926292821753188
equal_late,table,2.0,log_loss,0.5160413234383294,0.4510539680438975,0.5812804356672908
equal_late,us,0.0,roc_auc,0.8541374474053297,0.7538569424964937,0.938288920056101
equal_late,us,0.0,accuracy,0.823529411764706,0.7529411764705882,0.8941176470588236
equal_late,us,0.0,sensitivity,0.9354838709677419,0.8709677419354839,0.9838709677419355
equal_late,us,0.0,specificity,0.5217391304347826,0.30434782608695654,0.7391304347826088
equal_late,us,0.0,balanced_accuracy,0.7286115007012622,0.6199158485273493,0.8316970546984571
equal_late,us,0.0,f1,0.8854961832061069,0.8387096774193549,0.9302325581395349
equal_late,us,0.0,brier,0.12865511516093817,0.09794473869608361,0.16176402051975264
equal_late,us,0.0,log_loss,0.40827782452662303,0.3245154385119038,0.5023810947092904
equal_late,us,0.25,roc_auc,0.8658251519401589,0.7730247779336139,0.9429640018700326
equal_late,us,0.25,accuracy,0.8392156862745098,0.7647058823529411,0.9058823529411765
equal_late,us,0.25,sensitivity,0.9247311827956989,0.8548387096774194,0.9838709677419355
equal_late,us,0.25,specificity,0.6086956521739131,0.391304347826087,0.8260869565217391
equal_late,us,0.25,balanced_accuracy,0.766713417484806,0.6607059373539037,0.8697989714820009
equal_late,us,0.25,f1,0.8934916020671834,0.8443111277756947,0.9384615384615383
equal_late,us,0.25,brier,0.12797846237071095,0.09688703494131397,0.16109337632107493
equal_late,us,0.25,log_loss,0.40737177176355094,0.3327017580516985,0.48761361026406363
equal_late,us,0.5,roc_auc,0.8609163160355306,0.7629733520336606,0.9424964936886395
equal_late,us,0.5,accuracy,0.823529411764706,0.7411764705882353,0.8941176470588236
equal_late,us,0.5,sensitivity,0.9032258064516129,0.8225806451612904,0.967741935483871
equal_late,us,0.5,specificity,0.6086956521739131,0.391304347826087,0.8260869565217391
equal_late,us,0.5,balanced_accuracy,0.755960729312763,0.64726507713885,0.8590462833099579
equal_late,us,0.5,f1,0.8818897637795274,0.828125,0.9302325581395349
equal_late,us,0.5,brier,0.12984128221400623,0.09825797174838732,0.16392339156243865
equal_late,us,0.5,log_loss,0.41439593993990825,0.3370392710010919,0.49853942030971554
equal_late,us,1.0,roc_auc,0.5264142122487143,0.39106474988312295,0.6598936418887329
equal_late,us,1.0,accuracy,0.7294117647058823,0.7294117647058823,0.7294117647058823
equal_late,us,1.0,sensitivity,1.0,1.0,1.0
equal_late,us,1.0,specificity,0.0,0.0,0.0
equal_late,us,1.0,balanced_accuracy,0.5,0.5,0.5
equal_late,us,1.0,f1,0.8435374149659864,0.8435374149659864,0.8435374149659864
equal_late,us,1.0,brier,0.2329436285861767,0.2022747444489649,0.2636538969646195
equal_late,us,1.0,log_loss,4.591659805052426,2.850765638865104,6.398645948301993
equal_late,us,2.0,roc_auc,0.522674146797569,0.4015895278167368,0.6446937821411874
equal_late,us,2.0,accuracy,0.7294117647058823,0.7294117647058823,0.7294117647058823
equal_late,us,2.0,sensitivity,1.0,1.0,1.0
equal_late,us,2.0,specificity,0.0,0.0,0.0
equal_late,us,2.0,balanced_accuracy,0.5,0.5,0.5
equal_late,us,2.0,f1,0.8435374149659864,0.8435374149659864,0.8435374149659864
equal_late,us,2.0,brier,0.2365322282726727,0.20515945905125682,0.267973740240193
equal_late,us,2.0,log_loss,5.7561344080872985,3.719781323394693,7.77372076564468
original,emg,0.0,roc_auc,0.8639551192145861,0.7664796633941094,0.9431977559607293
original,emg,0.0,accuracy,0.811764705882353,0.7294117647058823,0.8823529411764706
original,emg,0.0,sensitivity,0.9032258064516129,0.8225806451612904,0.967741935483871
original,emg,0.0,specificity,0.5652173913043478,0.34782608695652173,0.782608695652174
original,emg,0.0,balanced_accuracy,0.7342215988779803,0.6230715287517532,0.8373071528751752
original,emg,0.0,f1,0.875,0.8217054263565892,0.923076923076923
original,emg,0.0,brier,0.12183377711273095,0.08630240600416776,0.16154810562471336
original,emg,0.0,log_loss,0.3875856662536439,0.28780670085298093,0.5047567993790975
original,emg,0.25,roc_auc,0.8744740532959326,0.7805049088359045,0.9474053295932677
original,emg,0.25,accuracy,0.788235294117647,0.7058823529411765,0.8705882352941177
original,emg,0.25,sensitivity,0.8709677419354839,0.7903225806451614,0.9516129032258065
original,emg,0.25,specificity,0.5652173913043478,0.34782608695652173,0.782608695652174
original,emg,0.25,balanced_accuracy,0.7180925666199158,0.6069424964936887,0.8243338008415148
original,emg,0.25,f1,0.8571428571428571,0.796875,0.912
original,emg,0.25,brier,0.1208626012149454,0.08658157509574002,0.1592775723081755
original,emg,0.25,log_loss,0.38279074639110156,0.28613207465496,0.4980351320883357
original,emg,0.5,roc_auc,0.8489948574100046,0.7498772791023843,0.9296400187003272
original,emg,0.5,accuracy,0.7647058823529411,0.6705882352941176,0.8470588235294118
original,emg,0.5,sensitivity,0.7258064516129034,0.6129032258064516,0.8225806451612904
original,emg,0.5,specificity,0.8695652173913043,0.7391304347826088,1.0
original,emg,0.5,balanced_accuracy,0.7976858345021038,0.705820476858345,0.8790322580645161
original,emg,0.5,f1,0.8181818181818182,0.7358490566037735,0.8869565217391303
original,emg,0.5,brier,0.16934843087601226,0.12182964929363538,0.221391174209792
original,emg,0.5,log_loss,0.5083091531685383,0.3831377506463657,0.6495506485135284
original,emg,1.0,roc_auc,0.8445535296867694,0.7447346891070593,0.9256778868630199
original,emg,1.0,accuracy,0.7176470588235294,0.6235294117647059,0.811764705882353
original,emg,1.0,sensitivity,0.6612903225806451,0.5483870967741935,0.7741935483870966
original,emg,1.0,specificity,0.8695652173913043,0.7391304347826088,1.0
original,emg,1.0,balanced_accuracy,0.7654277699859747,0.6711079943899018,0.8492286115007013
original,emg,1.0,f1,0.7735849056603774,0.68,0.8521739130434782
original,emg,1.0,brier,0.18406950470557248,0.13357127891356782,0.2386299018492596
original,emg,1.0,log_loss,0.5504194508524067,0.414010425477922,0.7023082225738403
original,emg,2.0,roc_auc,0.8489948574100047,0.7491818606825621,0.9296400187003272
original,emg,2.0,accuracy,0.7294117647058823,0.6352941176470588,0.823529411764706
original,emg,2.0,sensitivity,0.6774193548387096,0.5645161290322581,0.7903225806451614
original,emg,2.0,specificity,0.8695652173913043,0.7391304347826088,1.0
original,emg,2.0,balanced_accuracy,0.773492286115007,0.6784712482468441,0.8572931276297334
original,emg,2.0,f1,0.7850467289719626,0.6938775510204082,0.864418231791113
original,emg,2.0,brier,0.18146397177188248,0.1312591132530644,0.23566921183552783
original,emg,2.0,log_loss,0.5428410547292954,0.4084153479391916,0.6941008853984054
original,table,0.0,roc_auc,0.8639551192145861,0.7664796633941094,0.9431977559607293
original,table,0.0,accuracy,0.811764705882353,0.7294117647058823,0.8823529411764706
original,table,0.0,sensitivity,0.9032258064516129,0.8225806451612904,0.967741935483871
original,table,0.0,specificity,0.5652173913043478,0.34782608695652173,0.782608695652174
original,table,0.0,balanced_accuracy,0.7342215988779803,0.6230715287517532,0.8373071528751752
original,table,0.0,f1,0.875,0.8217054263565892,0.923076923076923
original,table,0.0,brier,0.12183377711273095,0.08630240600416776,0.16154810562471336
original,table,0.0,log_loss,0.3875856662536439,0.28780670085298093,0.5047567993790975
original,table,0.25,roc_auc,0.8609163160355306,0.7664679756895746,0.9371259934548855
original,table,0.25,accuracy,0.811764705882353,0.7372549019607844,0.8823529411764706
original,table,0.25,sensitivity,0.8978494623655914,0.8225806451612904,0.9623655913978495
original,table,0.25,specificity,0.5797101449275363,0.3913043478260869,0.7681159420289855
original,table,0.25,balanced_accuracy,0.7387798036465637,0.635922159887798,0.8381252921926133
original,table,0.25,f1,0.8743325688940043,0.824043449010353,0.9205020758794127
original,table,0.25,brier,0.12502140044598156,0.09046707317017157,0.16396216514358775
original,table,0.25,log_loss,0.39262707353819826,0.2985208610294292,0.5024528803461751
original,table,0.5,roc_auc,0.8513323983169706,0.7578249181860682,0.9268349696119683
original,table,0.5,accuracy,0.823529411764706,0.7607843137254902,0.8862745098039215
original,table,0.5,sensitivity,0.9139784946236559,0.8548387096774194,0.9623655913978495
original,table,0.5,specificity,0.5797101449275363,0.40579710144927533,0.7536231884057972
original,table,0.5,balanced_accuracy,0.7468443197755961,0.65205703599813,0.8399953249181861
original,table,0.5,f1,0.8831049364021805,0.8406622396036169,0.9232465696702227
original,table,0.5,brier,0.12977999472961854,0.09719088435628508,0.16595407541375787
original,table,0.5,log_loss,0.40516941620920627,0.31759406268085694,0.5055834820953504
original,table,1.0,roc_auc,0.8113604488078541,0.7213651238896682,0.8887330528284245
original,table,1.0,accuracy,0.788235294117647,0.7294117647058823,0.8431372549019608
original,table,1.0,sensitivity,0.9086021505376344,0.8494623655913979,0.956989247311828
original,table,1.0,specificity,0.463768115942029,0.30434782608695654,0.6231884057971014
original,table,1.0,balanced_accuracy,0.6861851332398317,0.6032024310425433,0.7694015895278167
original,table,1.0,f1,0.8621042767921594,0.8223616678203999,0.8981158887967287
original,table,1.0,brier,0.1442729597270284,0.11599872819596935,0.17435438369844958
original,table,1.0,log_loss,0.443964999848125,0.3678956495899314,0.527480195981943
original,table,2.0,roc_auc,0.7405329593267883,0.6493630201028517,0.8237494156147732
original,table,2.0,accuracy,0.7686274509803921,0.7176470588235294,0.815686274509804
original,table,2.0,sensitivity,0.9193548387096774,0.8709677419354839,0.9623655913978495
original,table,2.0,specificity,0.36231884057971014,0.21739130434782608,0.5072463768115942
original,table,2.0,balanced_accuracy,0.6408368396446938,0.5675549322113137,0.7159887798036465
original,table,2.0,f1,0.852669776044389,0.8203940358178071,0.8829727104567838
original,table,2.0,brier,0.16641111635237213,0.13990812533150557,0.1937989548306187
original,table,2.0,log_loss,0.5084095124458631,0.4364688645883058,0.583888395784903
original,us,0.0,roc_auc,0.8639551192145861,0.7664796633941094,0.9431977559607293
original,us,0.0,accuracy,0.811764705882353,0.7294117647058823,0.8823529411764706
original,us,0.0,sensitivity,0.9032258064516129,0.8225806451612904,0.967741935483871
original,us,0.0,specificity,0.5652173913043478,0.34782608695652173,0.782608695652174
original,us,0.0,balanced_accuracy,0.7342215988779803,0.6230715287517532,0.8373071528751752
original,us,0.0,f1,0.875,0.8217054263565892,0.923076923076923
original,us,0.0,brier,0.12183377711273095,0.08630240600416776,0.16154810562471336
