setting,modality,level,comparison,metric,estimate,ci95_low,ci95_high
equal_late,emg,0.0,corrupted_minus_clean,roc_auc,0.0,0.0,0.0
equal_late,emg,0.0,corrupted_minus_clean,accuracy,0.0,0.0,0.0
equal_late,emg,0.0,corrupted_minus_clean,sensitivity,0.0,0.0,0.0
equal_late,emg,0.0,corrupted_minus_clean,specificity,0.0,0.0,0.0
equal_late,emg,0.0,corrupted_minus_clean,balanced_accuracy,0.0,0.0,0.0
equal_late,emg,0.0,corrupted_minus_clean,f1,0.0,0.0,0.0
equal_late,emg,0.0,corrupted_minus_clean,brier,0.0,0.0,0.0
equal_late,emg,0.0,corrupted_minus_clean,log_loss,0.0,0.0,0.0
equal_late,emg,0.25,corrupted_minus_clean,roc_auc,0.001168770453482848,-0.028050490883590462,0.028757597007947777
equal_late,emg,0.25,corrupted_minus_clean,accuracy,-0.0117647058823529,-0.05882352941176483,0.03529411764705892
equal_late,emg,0.25,corrupted_minus_clean,sensitivity,0.0,-0.048387096774193616,0.048387096774193616
equal_late,emg,0.25,corrupted_minus_clean,specificity,-0.04347826086956513,-0.17391304347826098,0.08695652173913049
equal_late,emg,0.25,corrupted_minus_clean,balanced_accuracy,-0.021739130434782483,-0.10308555399719488,0.05154277699859755
equal_late,emg,0.25,corrupted_minus_clean,f1,-0.006708304418228117,-0.040727629634530936,0.025976985302495148
equal_late,emg,0.25,corrupted_minus_clean,brier,-0.0021009755303362243,-0.012739047046734266,0.009216533602852843
equal_late,emg,0.25,corrupted_minus_clean,log_loss,-0.004973858866546277,-0.028575592519084623,0.01984262801402035
equal_late,emg,0.5,corrupted_minus_clean,roc_auc,-0.027349228611500798,-0.09280037400654506,0.032258064516129004
equal_late,emg,0.5,corrupted_minus_clean,accuracy,-0.14117647058823546,-0.235294117647059,-0.04705882352941182
equal_late,emg,0.5,corrupted_minus_clean,sensitivity,-0.30645161290322576,-0.4193548387096775,-0.19354838709677424
equal_late,emg,0.5,corrupted_minus_clean,specificity,0.30434782608695654,0.13043478260869568,0.47826086956521746
equal_late,emg,0.5,corrupted_minus_clean,balanced_accuracy,-0.0010518934081346076,-0.10904628330995791,0.11009817671809252
equal_late,emg,0.5,corrupted_minus_clean,f1,-0.14263904034896402,-0.2378773971198634,-0.06152663678633065
equal_late,emg,0.5,corrupted_minus_clean,brier,0.07669710835137067,0.039635771256550496,0.1146727995018621
equal_late,emg,0.5,corrupted_minus_clean,log_loss,0.18214080091790924,0.09110427050416352,0.2731941264255186
equal_late,emg,1.0,corrupted_minus_clean,roc_auc,-0.01449275362318847,-0.07223001402524531,0.041146563814866595
equal_late,emg,1.0,corrupted_minus_clean,accuracy,-0.14509803921568643,-0.24705882352941178,-0.04705882352941193
equal_late,emg,1.0,corrupted_minus_clean,sensitivity,-0.32795698924731176,-0.4462365591397849,-0.21505376344086025
equal_late,emg,1.0,corrupted_minus_clean,specificity,0.34782608695652173,0.17391304347826075,0.5217391304347827
equal_late,emg,1.0,corrupted_minus_clean,balanced_accuracy,0.009934548854604985,-0.10366993922393619,0.12377279102384275
equal_late,emg,1.0,corrupted_minus_clean,f1,-0.1517567327333612,-0.24947637591636576,-0.06652623899617285
equal_late,emg,1.0,corrupted_minus_clean,brier,0.08495074028589883,0.0483481370112256,0.12248179156785971
equal_late,emg,1.0,corrupted_minus_clean,log_loss,0.20586292419599334,0.11682785977712386,0.29643662093837364
equal_late,emg,2.0,corrupted_minus_clean,roc_auc,-0.00771388499298753,-0.056334735857877405,0.0406732117812062
equal_late,emg,2.0,corrupted_minus_clean,accuracy,-0.16470588235294126,-0.2705882352941177,-0.07058823529411762
equal_late,emg,2.0,corrupted_minus_clean,sensitivity,-0.35483870967741926,-0.48387096774193544,-0.24193548387096764
equal_late,emg,2.0,corrupted_minus_clean,specificity,0.34782608695652173,0.17391304347826075,0.5217391304347827
equal_late,emg,2.0,corrupted_minus_clean,balanced_accuracy,-0.003506311360448766,-0.11711079943899039,0.11009817671809274
equal_late,emg,2.0,corrupted_minus_clean,f1,-0.17262489607739395,-0.27773266529850826,-0.08254578012832738
equal_late,emg,2.0,corrupted_minus_clean,brier,0.08159064343435754,0.046154100311140187,0.1179494208614684
equal_late,emg,2.0,corrupted_minus_clean,log_loss,0.19835482214347683,0.11356135647636764,0.28634227648452987
equal_late,table,0.0,corrupted_minus_clean,roc_auc,0.0,0.0,0.0
equal_late,table,0.0,corrupted_minus_clean,accuracy,0.0,0.0,0.0
equal_late,table,0.0,corrupted_minus_clean,sensitivity,0.0,0.0,0.0
equal_late,table,0.0,corrupted_minus_clean,specificity,0.0,0.0,0.0
equal_late,table,0.0,corrupted_minus_clean,balanced_accuracy,0.0,0.0,0.0
equal_late,table,0.0,corrupted_minus_clean,f1,0.0,0.0,0.0
equal_late,table,0.0,corrupted_minus_clean,brier,0.0,0.0,0.0
