setting,seed,fold,modality,n,pearson,spearman,covariance,q_mean,q_std,q_mean_minus_one_third
equal_late,42,0,us,17,0.14711948396171454,-0.465686274509804,0.0030095295162034987,0.10959394232570158,0.02667677359659621,-0.22373939100763174
equal_late,42,0,emg,17,0.16637245104196882,-0.17401960784313728,0.0018071760747193526,0.06365697281690319,0.015491461210990628,-0.2696763605164301
equal_late,42,0,table,17,-0.14210325533320484,-0.8823529411764707,-0.023789733130667148,0.27564382471788307,0.1216084802987939,-0.05768950861545025
equal_late,42,1,us,17,0.5420831396988883,-0.2034313725490196,0.011054604125890087,0.1078405721320032,0.023626906538199627,-0.2254927612013301
equal_late,42,1,emg,17,-0.7383675899259214,-0.7671568627450981,-0.0020667778431007447,0.06939101170252289,0.015640307283247598,-0.26394232163081044
equal_late,42,1,table,17,-0.348697353632866,-0.8725490196078433,-0.03887335263049258,0.2127196599672907,0.12109038540096058,-0.12061367336604262
equal_late,42,2,us,17,-0.004037729480066338,-0.482843137254902,-0.0002963378359512158,0.16991857955380804,0.046747891602685804,-0.16341475377952527
equal_late,42,2,emg,17,0.19710755782025313,-0.06617647058823531,0.001361845479693839,0.0871115169067432,0.014589399095709811,-0.24622181642659013
equal_late,42,2,table,17,-0.20971918451823524,-0.9362745098039217,-0.046252525333624867,0.40637565360766065,0.13708395381632135,0.07304232027432733
equal_late,42,3,us,17,-0.07807056021860526,-0.5245098039215687,-0.001278537278564964,0.09275491930061706,0.025043280086298282,-0.24057841403271624
equal_late,42,3,emg,17,0.04644715930355139,-0.3137254901960785,0.00019341446791538278,0.08623762269679944,0.0091079006711663,-0.24709571063653388
equal_late,42,3,table,17,-0.350555744415492,-0.9534313725490198,-0.05639489729185676,0.30160170255293123,0.1599973069886628,-0.03173163078040209
equal_late,42,4,us,17,-0.1643489784765138,-0.4607843137254902,-0.0021843558411476375,0.10887763938040763,0.016342844181322185,-0.2244556939529257
equal_late,42,4,emg,17,-0.024731971923823974,-0.2303921568627451,-0.00030788337566123704,0.07498687380967566,0.028222206535744414,-0.25834645952365765
equal_late,42,4,table,17,-0.4375023665634925,-0.928921568627451,-0.028201024867297395,0.1681466523652618,0.09135224569295207,-0.16518668096807151
equal_late,43,0,us,17,-0.007621610554112562,-0.6348039215686275,-8.812058076811485e-05,0.09381960554983708,0.0210297178665983,-0.23951372778349622
equal_late,43,0,emg,17,0.24942669256794125,-0.09803921568627452,0.013651721053296855,0.1080923185186647,0.04552283436332209,-0.22524101481466863
equal_late,43,0,table,17,-0.1945896324635024,-0.8602941176470589,-0.038872355443515416,0.2876923475620752,0.1375589533339695,-0.045640985771258136
equal_late,43,1,us,17,-0.12271343249189952,-0.7622549019607844,-0.007045385454477878,0.1566449513463961,0.04489939572267498,-0.1766883819869372
equal_late,43,1,emg,17,-0.14990208864925858,-0.465686274509804,-0.00018159275691115892,0.08024493890434536,0.004695118798074932,-0.25308839442898795
equal_late,43,1,table,17,-0.40820120205084975,-0.6764705882352942,-0.07444563287600894,0.2579124618454583,0.13706446860547467,-0.07542087148787502
equal_late,43,2,us,17,-0.15970807852699093,-0.6225490196078433,-0.005389440692554376,0.1282673089917041,0.03366097943507811,-0.2050660243416292
equal_late,43,2,emg,17,0.5259684037923642,0.31127450980392163,0.004143260783700375,0.07884653058953496,0.01254481282214331,-0.25448680274379837
equal_late,43,2,table,17,-0.1778756192352442,-0.8284313725490197,-0.043561780766319114,0.3944665754716172,0.13843952591344602,0.06113324213828386
equal_late,43,3,us,17,0.018858475025693516,-0.2622549019607843,0.00023899606102911985,0.09919162976919552,0.019960419917476692,-0.2341417035641378
equal_late,43,3,emg,17,0.19630094786630642,-0.4264705882352942,0.003773435020108314,0.10792604391155673,0.02831510855852324,-0.22540728942177657
equal_late,43,3,table,17,-0.5657307542130443,-0.9730392156862747,-0.04326327753204258,0.2811639845227768,0.15311686839372007,-0.052169348810556515
equal_late,43,4,us,17,0.14246479923348337,-0.482843137254902,0.0023652955929644383,0.11202030279680843,0.021884826230492507,-0.2213130305365249
equal_late,43,4,emg,17,-0.02307949178320457,-0.05147058823529412,-0.0001558908205173076,0.08147847529844487,0.014160011568772918,-0.25185485803488844
