setting,modality,level,metric,estimate,ci95_low,ci95_high
positive_margin,emg,0.0,roc_auc,0.8709677419354839,0.7784011220196353,0.9453015427769986
positive_margin,emg,0.0,accuracy,0.823529411764706,0.7529411764705882,0.8941176470588236
positive_margin,emg,0.0,sensitivity,0.9354838709677419,0.8709677419354839,0.9838709677419355
positive_margin,emg,0.0,specificity,0.5217391304347826,0.30434782608695654,0.7391304347826088
positive_margin,emg,0.0,balanced_accuracy,0.7286115007012622,0.6199158485273493,0.8317759467040661
positive_margin,emg,0.0,f1,0.8854961832061069,0.8382352941176471,0.9302325581395349
positive_margin,emg,0.0,brier,0.12162077405506772,0.08415837065712677,0.16297353271859813
positive_margin,emg,0.0,log_loss,0.38535232515653844,0.2721061527754122,0.5197055519846006
positive_margin,emg,0.25,roc_auc,0.8716690042075736,0.7791023842917251,0.9446002805049089
positive_margin,emg,0.25,accuracy,0.788235294117647,0.7058823529411765,0.8705882352941177
positive_margin,emg,0.25,sensitivity,0.8870967741935484,0.8064516129032256,0.9516129032258065
positive_margin,emg,0.25,specificity,0.5217391304347826,0.30434782608695654,0.7391304347826088
positive_margin,emg,0.25,balanced_accuracy,0.7044179523141655,0.5932678821879382,0.8131136044880783
positive_margin,emg,0.25,f1,0.859375,0.8031496062992126,0.9105691056910569
positive_margin,emg,0.25,brier,0.12115948151519162,0.08441309542123733,0.1614171510050573
positive_margin,emg,0.25,log_loss,0.3804295591374713,0.2697253393751626,0.5135385775661258
positive_margin,emg,0.5,roc_auc,0.8347358578775128,0.7351566152407667,0.9181919121084618
positive_margin,emg,0.5,accuracy,0.7058823529411765,0.611764705882353,0.8000000000000002
positive_margin,emg,0.5,sensitivity,0.6935483870967744,0.5806451612903226,0.8064516129032256
positive_margin,emg,0.5,specificity,0.7391304347826088,0.5652173913043478,0.9130434782608695
positive_margin,emg,0.5,balanced_accuracy,0.7163394109396913,0.6076437587657784,0.8194249649368862
positive_margin,emg,0.5,f1,0.7747747747747747,0.6851851851851852,0.8521739130434782
positive_margin,emg,0.5,brier,0.17003821058128246,0.12025004823379358,0.2240775469618588
positive_margin,emg,0.5,log_loss,0.5035996575711182,0.35811101819382696,0.6659642599823898
positive_margin,emg,1.0,roc_auc,0.8375409069658719,0.7388908368396447,0.9200561009817672
positive_margin,emg,1.0,accuracy,0.7098039215686275,0.611764705882353,0.8039215686274511
positive_margin,emg,1.0,sensitivity,0.6827956989247311,0.5645161290322581,0.7956989247311826
positive_margin,emg,1.0,specificity,0.782608695652174,0.6086956521739131,0.9565217391304349
positive_margin,emg,1.0,balanced_accuracy,0.7327021972884525,0.6271622253389435,0.8299438990182328
positive_margin,emg,1.0,f1,0.7743675284959689,0.683924570575056,0.8521852466623829
positive_margin,emg,1.0,brier,0.1735473870865262,0.12192994952126343,0.22849920153159142
positive_margin,emg,1.0,log_loss,0.5122239011910046,0.36507166645591077,0.6728883372098245
positive_margin,emg,2.0,roc_auc,0.8429172510518934,0.7454242636746143,0.923562412342216
positive_margin,emg,2.0,accuracy,0.7176470588235294,0.6235294117647059,0.811764705882353
positive_margin,emg,2.0,sensitivity,0.6935483870967744,0.5806451612903226,0.8064516129032256
positive_margin,emg,2.0,specificity,0.782608695652174,0.6086956521739131,0.9565217391304349
positive_margin,emg,2.0,balanced_accuracy,0.7380785413744743,0.632538569424965,0.8355539971949509
positive_margin,emg,2.0,f1,0.7818181818181819,0.6923076923076922,0.8596491228070176
positive_margin,emg,2.0,brier,0.1687777859611391,0.11832737600181377,0.22304180165977955
positive_margin,emg,2.0,log_loss,0.5004316589352983,0.3566407271991856,0.6576328337698121
positive_margin,table,0.0,roc_auc,0.8709677419354839,0.7784011220196353,0.9453015427769986
positive_margin,table,0.0,accuracy,0.823529411764706,0.7529411764705882,0.8941176470588236
positive_margin,table,0.0,sensitivity,0.9354838709677419,0.8709677419354839,0.9838709677419355
positive_margin,table,0.0,specificity,0.5217391304347826,0.30434782608695654,0.7391304347826088
positive_margin,table,0.0,balanced_accuracy,0.7286115007012622,0.6199158485273493,0.8317759467040661
positive_margin,table,0.0,f1,0.8854961832061069,0.8382352941176471,0.9302325581395349
positive_margin,table,0.0,brier,0.12162077405506772,0.08415837065712677,0.16297353271859813
positive_margin,table,0.0,log_loss,0.38535232515653844,0.2721061527754122,0.5197055519846006
positive_margin,table,0.25,roc_auc,0.8637213651238896,0.773492286115007,0.9359513791491351
positive_margin,table,0.25,accuracy,0.7999999999999999,0.7294117647058824,0.8666666666666667
positive_margin,table,0.25,sensitivity,0.9032258064516129,0.8385752688172042,0.9623655913978495
positive_margin,table,0.25,specificity,0.5217391304347826,0.3333333333333333,0.7101449275362318
positive_margin,table,0.25,balanced_accuracy,0.7124824684431976,0.6120792426367462,0.8136979897148201
positive_margin,table,0.25,f1,0.8682010902483345,0.8210129082722832,0.912465671573454
positive_margin,table,0.25,brier,0.1262557099985092,0.08922911920717146,0.1668334626396132
positive_margin,table,0.25,log_loss,0.39196756431245555,0.28426527117296574,0.5165641056470962
positive_margin,table,0.5,roc_auc,0.8506311360448807,0.7613370733987844,0.924269518466573
positive_margin,table,0.5,accuracy,0.7999999999999999,0.7333333333333334,0.8627450980392157
positive_margin,table,0.5,sensitivity,0.8924731182795699,0.833198924731183,0.946236559139785
positive_margin,table,0.5,specificity,0.5507246376811593,0.36231884057971014,0.7391304347826088
positive_margin,table,0.5,balanced_accuracy,0.7215988779803647,0.6255171809256661,0.8176718092566619
positive_margin,table,0.5,f1,0.866914891452522,0.8229159035409035,0.9086021651390972
positive_margin,table,0.5,brier,0.1323578412640228,0.09661855134604976,0.1701648682216089
positive_margin,table,0.5,log_loss,0.4064006998988334,0.3048553599700554,0.5203798610247156
positive_margin,table,1.0,roc_auc,0.8162692847124825,0.7307152875175316,0.8913043478260869
positive_margin,table,1.0,accuracy,0.7803921568627451,0.7176470588235294,0.8392156862745098
positive_margin,table,1.0,sensitivity,0.8978494623655914,0.8387096774193549,0.946236559139785
positive_margin,table,1.0,specificity,0.463768115942029,0.2898550724637681,0.6376811594202899
positive_margin,table,1.0,balanced_accuracy,0.6808087891538102,0.5938522674146798,0.7696499532491817
positive_margin,table,1.0,f1,0.8563542400751704,0.8155608113686527,0.8943908044311923
positive_margin,table,1.0,brier,0.14860062932423065,0.11710492010659013,0.18084393914572008
positive_margin,table,1.0,log_loss,0.4503142786949943,0.35984190305281516,0.547199491298397
positive_margin,table,2.0,roc_auc,0.7529219261337073,0.663627863487611,0.8352033660589061
positive_margin,table,2.0,accuracy,0.7450980392156863,0.6941176470588236,0.796078431372549
positive_margin,table,2.0,sensitivity,0.913978494623656,0.8655913978494624,0.956989247311828
positive_margin,table,2.0,specificity,0.2898550724637681,0.15942028985507248,0.43478260869565216
positive_margin,table,2.0,balanced_accuracy,0.601916783543712,0.5315568022440392,0.6787050023375408
positive_margin,table,2.0,f1,0.8393434288411954,0.8073293736132944,0.8702162246933556
positive_margin,table,2.0,brier,0.16914842483478276,0.13927260491120882,0.19882669451053261
positive_margin,table,2.0,log_loss,0.5172690596821994,0.4321016266163984,0.6029087561401951
positive_margin,us,0.0,roc_auc,0.8709677419354839,0.7784011220196353,0.9453015427769986
positive_margin,us,0.0,accuracy,0.823529411764706,0.7529411764705882,0.8941176470588236
positive_margin,us,0.0,sensitivity,0.9354838709677419,0.8709677419354839,0.9838709677419355
positive_margin,us,0.0,specificity,0.5217391304347826,0.30434782608695654,0.7391304347826088
positive_margin,us,0.0,balanced_accuracy,0.7286115007012622,0.6199158485273493,0.8317759467040661
positive_margin,us,0.0,f1,0.8854961832061069,0.8382352941176471,0.9302325581395349
positive_margin,us,0.0,brier,0.12162077405506772,0.08415837065712677,0.16297353271859813
positive_margin,us,0.0,log_loss,0.38535232515653844,0.2721061527754122,0.5197055519846006
positive_margin,us,0.25,roc_auc,0.8817204301075269,0.7956930808789152,0.9504441327723235
positive_margin,us,0.25,accuracy,0.8000000000000002,0.7176470588235294,0.8823529411764706
positive_margin,us,0.25,sensitivity,0.8387096774193549,0.7419354838709676,0.9193548387096774
positive_margin,us,0.25,specificity,0.6956521739130435,0.5217391304347826,0.8695652173913043
positive_margin,us,0.25,balanced_accuracy,0.7671809256661991,0.6584852734922861,0.8678120617110799
positive_margin,us,0.25,f1,0.8595041322314051,0.7931034482758621,0.9180327868852459
positive_margin,us,0.25,brier,0.12299404719110867,0.08615177693072755,0.16379593654754734
positive_margin,us,0.25,log_loss,0.3778115050043269,0.27664298628449385,0.4942703336053411
positive_margin,us,0.5,roc_auc,0.8821879382889201,0.796616409537167,0.9509116409537167
positive_margin,us,0.5,accuracy,0.815686274509804,0.7333333333333334,0.8941176470588236
positive_margin,us,0.5,sensitivity,0.8440860215053764,0.7526881720430106,0.9247311827956989
positive_margin,us,0.5,specificity,0.7391304347826088,0.5652173913043478,0.9130434782608695
positive_margin,us,0.5,balanced_accuracy,0.7916082281439923,0.6882830762038336,0.8866292660121552
positive_margin,us,0.5,f1,0.8697887970615245,0.8065216250664485,0.9256198347107438
positive_margin,us,0.5,brier,0.12315469791508073,0.08633071692637304,0.16429336614017212
positive_margin,us,0.5,log_loss,0.37942447930361434,0.277122929989938,0.4968808949975565
positive_margin,us,1.0,roc_auc,0.5057269752220664,0.3762242870500234,0.6337073398784479
positive_margin,us,1.0,accuracy,0.6470588235294117,0.5647058823529411,0.7294117647058823
positive_margin,us,1.0,sensitivity,0.7956989247311826,0.6989247311827956,0.8870967741935484
positive_margin,us,1.0,specificity,0.24637681159420288,0.08695652173913043,0.4202898550724638
positive_margin,us,1.0,balanced_accuracy,0.5210378681626929,0.4270628798503973,0.6220254791958859
positive_margin,us,1.0,f1,0.7667188220031657,0.7010431402995049,0.8234928406287035
positive_margin,us,1.0,brier,0.25470659226473785,0.20670472201926152,0.30431554898680174
positive_margin,us,1.0,log_loss,4.2305074065175345,2.5078609435126866,6.27224664778898
positive_margin,us,2.0,roc_auc,0.5238429172510519,0.4070827489481066,0.6406030855539971
positive_margin,us,2.0,accuracy,0.7294117647058823,0.7294117647058823,0.7294117647058823
positive_margin,us,2.0,sensitivity,1.0,1.0,1.0
positive_margin,us,2.0,specificity,0.0,0.0,0.0
positive_margin,us,2.0,balanced_accuracy,0.5,0.5,0.5
positive_margin,us,2.0,f1,0.8435374149659864,0.8435374149659864,0.8435374149659864
positive_margin,us,2.0,brier,0.23660130718954245,0.20522875816993466,0.2679738562091503
positive_margin,us,2.0,log_loss,5.756291523997646,3.719781581999852,7.7737207550256455
