setting,modality,level,comparison,metric,estimate,ci95_low,ci95_high
positive_margin,emg,0.0,corrupted_minus_clean,roc_auc,0.0,0.0,0.0
positive_margin,emg,0.0,corrupted_minus_clean,accuracy,0.0,0.0,0.0
positive_margin,emg,0.0,corrupted_minus_clean,sensitivity,0.0,0.0,0.0
positive_margin,emg,0.0,corrupted_minus_clean,specificity,0.0,0.0,0.0
positive_margin,emg,0.0,corrupted_minus_clean,balanced_accuracy,0.0,0.0,0.0
positive_margin,emg,0.0,corrupted_minus_clean,f1,0.0,0.0,0.0
positive_margin,emg,0.0,corrupted_minus_clean,brier,0.0,0.0,0.0
positive_margin,emg,0.0,corrupted_minus_clean,log_loss,0.0,0.0,0.0
positive_margin,emg,0.25,corrupted_minus_clean,roc_auc,0.0007012622720897754,-0.016830294530154166,0.016830294530154277
positive_margin,emg,0.25,corrupted_minus_clean,accuracy,-0.03529411764705892,-0.08235294117647052,0.0
positive_margin,emg,0.25,corrupted_minus_clean,sensitivity,-0.048387096774193505,-0.11290322580645151,0.0
positive_margin,emg,0.25,corrupted_minus_clean,specificity,0.0,0.0,0.0
positive_margin,emg,0.25,corrupted_minus_clean,balanced_accuracy,-0.024193548387096753,-0.056451612903225645,0.0
positive_margin,emg,0.25,corrupted_minus_clean,f1,-0.0261211832061069,-0.06098579782790303,0.0
positive_margin,emg,0.25,corrupted_minus_clean,brier,-0.0004612925398760903,-0.0054141144604586975,0.0053999816931941565
positive_margin,emg,0.25,corrupted_minus_clean,log_loss,-0.00492276601906716,-0.020003406628414988,0.010045318782342404
positive_margin,emg,0.5,corrupted_minus_clean,roc_auc,-0.036231884057971064,-0.08765778401122004,0.008415147265077194
positive_margin,emg,0.5,corrupted_minus_clean,accuracy,-0.11764705882352944,-0.21176470588235297,-0.02352941176470591
positive_margin,emg,0.5,corrupted_minus_clean,sensitivity,-0.24193548387096753,-0.3548387096774194,-0.14516129032258052
positive_margin,emg,0.5,corrupted_minus_clean,specificity,0.21739130434782616,0.0,0.43478260869565216
positive_margin,emg,0.5,corrupted_minus_clean,balanced_accuracy,-0.012272089761570903,-0.12833099579242635,0.10694249649368859
positive_margin,emg,0.5,corrupted_minus_clean,f1,-0.11072140843133216,-0.19638521311631782,-0.036974483663590234
positive_margin,emg,0.5,corrupted_minus_clean,brier,0.04841743652621475,0.01503361282254887,0.08429510672632848
positive_margin,emg,0.5,corrupted_minus_clean,log_loss,0.1182473324145798,0.023639217937126335,0.2197676859852453
positive_margin,emg,1.0,corrupted_minus_clean,roc_auc,-0.03342683496961196,-0.0841514726507715,0.011921458625525964
positive_margin,emg,1.0,corrupted_minus_clean,accuracy,-0.11372549019607847,-0.207843137254902,-0.0235294117647058
positive_margin,emg,1.0,corrupted_minus_clean,sensitivity,-0.25268817204301075,-0.3655913978494624,-0.15053763440860224
positive_margin,emg,1.0,corrupted_minus_clean,specificity,0.26086956521739135,0.08695652173913049,0.4347826086956522
positive_margin,emg,1.0,corrupted_minus_clean,balanced_accuracy,0.004090696587190301,-0.09899485741000458,0.10986442262739593
positive_margin,emg,1.0,corrupted_minus_clean,f1,-0.111128654710138,-0.19615485468153726,-0.03846618699080637
positive_margin,emg,1.0,corrupted_minus_clean,brier,0.051926613031458485,0.01702148489642023,0.08937917855770497
positive_margin,emg,1.0,corrupted_minus_clean,log_loss,0.12687157603446614,0.029687114311971803,0.23158432934112094
positive_margin,emg,2.0,corrupted_minus_clean,roc_auc,-0.028050490883590462,-0.07223001402524554,0.013323983169705622
positive_margin,emg,2.0,corrupted_minus_clean,accuracy,-0.10588235294117654,-0.20000000000000007,-0.011764705882353121
positive_margin,emg,2.0,corrupted_minus_clean,sensitivity,-0.24193548387096753,-0.3548387096774194,-0.14516129032258052
positive_margin,emg,2.0,corrupted_minus_clean,specificity,0.26086956521739135,0.08695652173913049,0.4347826086956522
positive_margin,emg,2.0,corrupted_minus_clean,balanced_accuracy,0.009467040673212024,-0.09361851332398319,0.11500701262272095
positive_margin,emg,2.0,corrupted_minus_clean,f1,-0.10367800138792505,-0.18829762045050827,-0.031870003159096924
positive_margin,emg,2.0,corrupted_minus_clean,brier,0.04715701190607138,0.014004747574438786,0.0830022097972166
positive_margin,emg,2.0,corrupted_minus_clean,log_loss,0.11507933377875984,0.021897273844240586,0.21519408963611358
positive_margin,table,0.0,corrupted_minus_clean,roc_auc,0.0,0.0,0.0
positive_margin,table,0.0,corrupted_minus_clean,accuracy,0.0,0.0,0.0
positive_margin,table,0.0,corrupted_minus_clean,sensitivity,0.0,0.0,0.0
positive_margin,table,0.0,corrupted_minus_clean,specificity,0.0,0.0,0.0
positive_margin,table,0.0,corrupted_minus_clean,balanced_accuracy,0.0,0.0,0.0
positive_margin,table,0.0,corrupted_minus_clean,f1,0.0,0.0,0.0
positive_margin,table,0.0,corrupted_minus_clean,brier,0.0,0.0,0.0
positive_margin,table,0.0,corrupted_minus_clean,log_loss,0.0,0.0,0.0
positive_margin,table,0.25,corrupted_minus_clean,roc_auc,-0.007246376811594235,-0.027349228611500576,0.00935016362786334
positive_margin,table,0.25,corrupted_minus_clean,accuracy,-0.02352941176470602,-0.05882352941176472,0.0039215686274510775
positive_margin,table,0.25,corrupted_minus_clean,sensitivity,-0.032258064516129004,-0.06989247311827962,0.0
positive_margin,table,0.25,corrupted_minus_clean,specificity,0.0,-0.07246376811594213,0.05797101449275366
positive_margin,table,0.25,corrupted_minus_clean,balanced_accuracy,-0.016129032258064613,-0.058789153810191674,0.020123305282842206
positive_margin,table,0.25,corrupted_minus_clean,f1,-0.01729509295777243,-0.04131987407076631,0.0027404647300809755
positive_margin,table,0.25,corrupted_minus_clean,brier,0.004634935943441498,-0.0011527793880652642,0.010541626364102647
