model,metric,estimate,ci95_low,ci95_high
main,roc_auc,0.884992987377279,0.8022440392706872,0.9509116409537167
main,accuracy,0.8588235294117647,0.788235294117647,0.9176470588235294
main,sensitivity,0.9516129032258065,0.8870967741935484,1.0
main,specificity,0.6086956521739131,0.391304347826087,0.782608695652174
main,balanced_accuracy,0.7801542776998598,0.6770687237026648,0.8807854137447405
main,f1,0.9076923076923077,0.8636363636363636,0.9465648854961832
main,brier,0.11202104647622954,0.0772560607279874,0.1511873347811227
main,log_loss,0.35225144542663,0.245605278551795,0.48474743728693415
combined,roc_auc,0.884992987377279,0.7952314165497896,0.9551192145862553
combined,accuracy,0.788235294117647,0.7058823529411765,0.8705882352941177
combined,sensitivity,0.8225806451612904,0.7258064516129032,0.9193548387096774
combined,specificity,0.6956521739130435,0.5217391304347826,0.8695652173913043
combined,balanced_accuracy,0.759116409537167,0.6504207573632539,0.8597475455820476
combined,f1,0.85,0.782608695652174,0.9105691056910569
combined,brier,0.12050522757477525,0.07856287147703181,0.16656999173195092
combined,log_loss,0.3753914551271529,0.24974972383193716,0.5243967942575267
rank0,roc_auc,0.8835904628330996,0.8015252454417953,0.9502103786816269
rank0,accuracy,0.8588235294117647,0.788235294117647,0.9176470588235294
rank0,sensitivity,0.9516129032258065,0.8870967741935484,1.0
rank0,specificity,0.6086956521739131,0.391304347826087,0.782608695652174
rank0,balanced_accuracy,0.7801542776998598,0.6770687237026648,0.8807854137447405
rank0,f1,0.9076923076923077,0.8636363636363636,0.9465648854961832
rank0,brier,0.11236253849560512,0.07762059045178671,0.15164658839661802
rank0,log_loss,0.35071164178883113,0.2472406663810312,0.4776418644084883
tmc,roc_auc,0.8948106591865358,0.8141654978962132,0.958625525946704
tmc,accuracy,0.8470588235294118,0.7764705882352941,0.9058823529411765
tmc,sensitivity,0.9516129032258065,0.8870967741935484,1.0
tmc,specificity,0.5652173913043478,0.34782608695652173,0.7391304347826086
tmc,balanced_accuracy,0.7584151472650771,0.652875175315568,0.8615007012622721
tmc,f1,0.9007633587786259,0.8571428571428571,0.9393939393939394
tmc,brier,0.11979859115666693,0.08943155126985818,0.15255363180621276
tmc,log_loss,0.3770883437636635,0.3008821058635458,0.46224277674481584
no_noise,roc_auc,0.8709677419354839,0.7791023842917251,0.9453015427769986
no_noise,accuracy,0.8235294117647058,0.7529411764705882,0.8941176470588236
no_noise,sensitivity,0.9354838709677419,0.8709677419354839,0.9838709677419355
no_noise,specificity,0.5217391304347826,0.30434782608695654,0.7391304347826086
no_noise,balanced_accuracy,0.7286115007012622,0.6230715287517532,0.8316970546984572
no_noise,f1,0.8854961832061069,0.8396946564885496,0.9302325581395349
no_noise,brier,0.12162077405506772,0.08452105552054077,0.16239476702424374
no_noise,log_loss,0.38535232515653856,0.27292596384107753,0.5205679214567018
clinical,roc_auc,0.9368863955119214,0.8786816269284713,0.9817671809256662
clinical,accuracy,0.8588235294117647,0.7764705882352941,0.9294117647058824
clinical,sensitivity,0.8387096774193549,0.7419354838709677,0.9193548387096774
clinical,specificity,0.9130434782608695,0.782608695652174,1.0
clinical,balanced_accuracy,0.8758765778401122,0.7976858345021038,0.9435483870967742
clinical,f1,0.896551724137931,0.8333333333333334,0.95
clinical,brier,0.09426359007905515,0.05604697393985511,0.1389380624860985
clinical,log_loss,0.31182351440017236,0.19377355570025076,0.4554328070626082
blood,roc_auc,0.603085553997195,0.45652173913043476,0.7419354838709677
blood,accuracy,0.6588235294117647,0.5647058823529412,0.7529411764705882
blood,sensitivity,0.7419354838709677,0.6290322580645161,0.8387096774193549
blood,specificity,0.43478260869565216,0.21739130434782608,0.6521739130434783
blood,balanced_accuracy,0.5883590462833099,0.4772089761570828,0.7051192145862553
blood,f1,0.7603305785123967,0.6788990825688074,0.8292682926829268
blood,brier,0.22201547234485003,0.19214567922075768,0.2535438158802696
blood,log_loss,0.6454676005340466,0.5697199079881542,0.7309109298614901
no_calf,roc_auc,0.8106591865357644,0.7124824684431977,0.896914446002805
no_calf,accuracy,0.7764705882352941,0.6941176470588235,0.8588235294117647
no_calf,sensitivity,0.8548387096774194,0.7580645161290323,0.9354838709677419
no_calf,specificity,0.5652173913043478,0.34782608695652173,0.7391304347826086
no_calf,balanced_accuracy,0.7100280504908836,0.5988779803646563,0.8155680224403927
no_calf,f1,0.848,0.7868712344122181,0.9032258064516129
no_calf,brier,0.16262195583929018,0.1173448287979904,0.21171296158100822
no_calf,log_loss,0.48363982294185337,0.3670800108555266,0.6109346486095658
elastic_net,roc_auc,0.9151472650771388,0.8394109396914446,0.9740532959326789
elastic_net,accuracy,0.8705882352941177,0.8,0.9411764705882353
elastic_net,sensitivity,0.8870967741935484,0.8064516129032258,0.9516129032258065
elastic_net,specificity,0.8260869565217391,0.6521739130434783,0.9565217391304348
elastic_net,balanced_accuracy,0.8565918653576438,0.7671809256661992,0.937938288920056
elastic_net,f1,0.9090909090909091,0.8547008547008547,0.9586776859504132
elastic_net,brier,0.10714111509524216,0.07123705890432491,0.1469380531473652
elastic_net,log_loss,0.33338155908718864,0.23871061019689366,0.43888035303703754
xgboost,roc_auc,0.8737727910238429,0.7776998597475456,0.9516129032258065
xgboost,accuracy,0.8470588235294118,0.7647058823529411,0.9176470588235294
xgboost,sensitivity,0.8870967741935484,0.8064516129032258,0.9516129032258065
xgboost,specificity,0.7391304347826086,0.5652173913043478,0.9130434782608695
xgboost,balanced_accuracy,0.8131136044880785,0.71242110799439,0.9081346423562412
xgboost,f1,0.8943089430894309,0.8376068376068376,0.944
xgboost,brier,0.1174658151372078,0.07348596077559498,0.16547001758418925
xgboost,log_loss,0.3801710704722255,0.26811401731637063,0.5048355104668447
