comparison,metric,difference,ci95_low,ci95_high
main - rank0,roc_auc,0.0014025245441794398,-0.01192145862552596,0.014025245441795287
main - rank0,accuracy,0.0,0.0,0.0
main - rank0,sensitivity,0.0,0.0,0.0
main - rank0,specificity,0.0,0.0,0.0
main - rank0,balanced_accuracy,0.0,0.0,0.0
main - rank0,f1,0.0,0.0,0.0
main - rank0,brier,-0.00034149201937558327,-0.004833250336372973,0.004741006636423616
main - rank0,log_loss,0.0015398036377988755,-0.010376037989136886,0.015351743756445766
main - tmc,roc_auc,-0.009817671809256745,-0.03856942496493687,0.016129032258064502
main - tmc,accuracy,0.0117647058823529,0.0,0.03529411764705881
main - tmc,sensitivity,0.0,0.0,0.0
main - tmc,specificity,0.0434782608695653,0.0,0.13043478260869568
main - tmc,balanced_accuracy,0.021739130434782705,0.0,0.0652173913043479
main - tmc,f1,0.006928948913681787,0.0,0.021494009866102948
main - tmc,brier,-0.007777544680437384,-0.02177132862977374,0.007071756726380936
main - tmc,log_loss,-0.02483689833703351,-0.07425683754436481,0.038772096647995684
main - no_noise,roc_auc,0.014025245441795176,-0.009116409537166859,0.0406732117812062
main - no_noise,accuracy,0.03529411764705881,0.0,0.08235294117647052
main - no_noise,sensitivity,0.016129032258064613,0.0,0.048387096774193616
main - no_noise,specificity,0.08695652173913049,0.0,0.2173913043478261
main - no_noise,balanced_accuracy,0.05154277699859755,0.0,0.11676016830294533
main - no_noise,f1,0.022196124486200786,0.0,0.05018001573564114
main - no_noise,brier,-0.009599727578838174,-0.021588346439318173,0.002129639803759014
main - no_noise,log_loss,-0.03310087972990855,-0.07172184579759595,0.001558367208924224
combined - clinical,roc_auc,-0.05189340813464238,-0.13814866760168298,0.01542776998597473
combined - clinical,accuracy,-0.07058823529411762,-0.16470588235294115,0.0235294117647058
combined - clinical,sensitivity,-0.016129032258064502,-0.11290322580645162,0.08064516129032262
combined - clinical,specificity,-0.21739130434782605,-0.4347826086956522,0.0
combined - clinical,balanced_accuracy,-0.11676016830294522,-0.23036465638148662,-0.005610098176717981
combined - clinical,f1,-0.04655172413793107,-0.11237706343974657,0.020371564687580897
combined - clinical,brier,0.026241637495720102,-0.012042907093698912,0.06584259556806066
combined - clinical,log_loss,0.06356794072698052,-0.06630607473197964,0.20666014310363656
combined - blood,roc_auc,0.28190743338008406,0.17251051893408131,0.4011220196353436
combined - blood,accuracy,0.12941176470588234,0.03529411764705881,0.23529411764705876
combined - blood,sensitivity,0.08064516129032262,-0.032258064516129115,0.20967741935483863
combined - blood,specificity,0.2608695652173913,0.08695652173913043,0.4347826086956522
combined - blood,balanced_accuracy,0.17075736325385704,0.06767180925666194,0.28190743338008417
combined - blood,f1,0.08966942148760326,0.011659762444948636,0.17286669670042873
combined - blood,brier,-0.10151024477007478,-0.14144616111179534,-0.0600726754373391
combined - blood,log_loss,-0.27007614540689373,-0.39085978676643035,-0.13875633816928912
combined - no_calf,roc_auc,0.07433380084151464,0.018934081346423604,0.13464235624123422
combined - no_calf,accuracy,0.0117647058823529,-0.05882352941176472,0.08235294117647052
combined - no_calf,sensitivity,-0.032258064516129004,-0.11290322580645162,0.048387096774193505
combined - no_calf,specificity,0.13043478260869568,0.0,0.26086956521739135
combined - no_calf,balanced_accuracy,0.04908835904628339,-0.024193548387096753,0.13288920056100983
combined - no_calf,f1,0.0020000000000000018,-0.04949152542372881,0.051411986975886864
combined - no_calf,brier,-0.04211672826451493,-0.07101794615671962,-0.013372861558994985
combined - no_calf,log_loss,-0.10824836781470049,-0.19530983647989691,-0.017408729936321574
combined - elastic_net,roc_auc,-0.03015427769985979,-0.0918653576437587,0.03155680224403923
combined - elastic_net,accuracy,-0.08235294117647063,-0.16470588235294126,0.0
combined - elastic_net,sensitivity,-0.06451612903225801,-0.16129032258064513,0.016129032258064502
combined - elastic_net,specificity,-0.13043478260869568,-0.34782608695652173,0.08695652173913049
combined - elastic_net,balanced_accuracy,-0.09747545582047679,-0.21423562412342223,0.021739130434782483
combined - elastic_net,f1,-0.05909090909090908,-0.12315280784238032,0.002520330799498963
combined - elastic_net,brier,0.013364112479533091,-0.02197055249759899,0.04826712331018883
combined - elastic_net,log_loss,0.042009896039964245,-0.05009758668045206,0.13324728261920588
combined - xgboost,roc_auc,0.011220196353436185,-0.08100455820476857,0.10764375876577836
combined - xgboost,accuracy,-0.05882352941176472,-0.14117647058823535,0.02352941176470591
combined - xgboost,sensitivity,-0.06451612903225801,-0.14516129032258074,0.016129032258064502
combined - xgboost,specificity,-0.04347826086956519,-0.26086956521739135,0.17391304347826086
combined - xgboost,balanced_accuracy,-0.05399719495091149,-0.17395687237026644,0.06276297335203374
combined - xgboost,f1,-0.0443089430894309,-0.10909658795135102,0.01734071594824909
combined - xgboost,brier,0.003039412437567446,-0.04038347831692543,0.04562019605793303
combined - xgboost,log_loss,-0.0047796153450725964,-0.1281930071400629,0.12364518265957186
main - elastic_net,roc_auc,-0.03015427769985979,-0.09887798036465634,0.033660589060308554
main - elastic_net,accuracy,-0.01176470588235301,-0.09411764705882353,0.07058823529411762
main - elastic_net,sensitivity,0.06451612903225812,0.0,0.14516129032258063
main - elastic_net,specificity,-0.21739130434782605,-0.43478260869565216,0.0
main - elastic_net,balanced_accuracy,-0.07643758765778397,-0.1875876577840112,0.032258064516129004
main - elastic_net,f1,-0.0013986013986013734,-0.052988496598939575,0.054076086956521774
main - elastic_net,brier,0.0048799313809873845,-0.02883908138960225,0.03797472132889395
main - elastic_net,log_loss,0.018869886339441366,-0.06402427233712332,0.10186098566297581
main - xgboost,roc_auc,0.011220196353436185,-0.08064516129032251,0.1069424964936887
main - xgboost,accuracy,0.0117647058823529,-0.07058823529411773,0.09411764705882353
main - xgboost,sensitivity,0.06451612903225812,0.0,0.14516129032258063
main - xgboost,specificity,-0.13043478260869557,-0.3913043478260869,0.13043478260869557
main - xgboost,balanced_accuracy,-0.03295932678821867,-0.16339410939691446,0.09431977559607285
main - xgboost,f1,0.013383364602876813,-0.04329004329004327,0.07308717302815959
main - xgboost,brier,-0.005444768660978261,-0.05148928102772027,0.03918661039701991
main - xgboost,log_loss,-0.027919625045595475,-0.15706692810540782,0.10076672043142476
