comparison,metric,difference,ci95_low,ci95_high
clinical - main,roc_auc,0.05189340813464238,-0.016129032258064502,0.1325385694249649
clinical - main,accuracy,0.0,-0.08235294117647063,0.08235294117647063
clinical - main,sensitivity,-0.11290322580645162,-0.19354838709677424,-0.032258064516129115
clinical - main,specificity,0.30434782608695643,0.08695652173913038,0.5217391304347827
clinical - main,balanced_accuracy,0.0957223001402524,-0.023492286115006977,0.21248246844319785
clinical - main,f1,-0.011140583554376637,-0.07351983424937998,0.044652129975124286
clinical - main,brier,-0.017757456397174395,-0.05790184417847664,0.02180102476260367
clinical - main,log_loss,-0.04042793102645764,-0.1845429156076276,0.09609448584966888
clinical - blood,roc_auc,0.33380084151472644,0.19004207573632537,0.4817847124824682
clinical - blood,accuracy,0.19999999999999996,0.08235294117647052,0.3176470588235294
clinical - blood,sensitivity,0.09677419354838712,-0.048387096774193616,0.24193548387096775
clinical - blood,specificity,0.47826086956521735,0.26086956521739135,0.6956521739130435
clinical - blood,balanced_accuracy,0.28751753155680226,0.1633765778401121,0.41234221598877985
clinical - blood,f1,0.13622114562553433,0.041440217391304324,0.23342511219899298
clinical - blood,brier,-0.12775188226579487,-0.1775392776274861,-0.07600946355707419
clinical - blood,log_loss,-0.33364408613387425,-0.4795138030627304,-0.17241793098699676
